Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,UWR Stoneblade,,Won,2,0,0,Brad Rutherford,Burn,
1,Dave Asbury,Turbo Depths,,Won,2,0,0,Matt Stullick,Burn,
1,Chrissy Asquith,RG Lands,,Lost,0,2,0,Isaac Espada,Burn,
1,Brian Bennett,OmniSneak,,Lost,0,2,0,Jason Schlieger,Czech Pile,
1,Steven Boday,Burn,RW,Lost,0,2,0,Anthony Mendez,Burn,
1,Collin Brady,ANT,,Lost,0,2,0,Russell Martin,UWR Stoneblade,
1,Garth Brewe,UW Stoneblade,,Lost,1,2,0,Miles Wallio,Elves,
1,Daniel Brittain,UWR Stoneblade,,Drew,1,1,0,James Gleixner,UWR Stoneblade,
1,Steven Britton,Aluren,BUG,Lost,1,2,0,Steven Robbins,Burn,
1,Joshua Bunnell,Enchantress,,Lost,0,2,0,Justin Hrala,Eldrazi,
1,Joseph Christensen,Death and Taxes,,Lost,1,2,0,Nicholas Trettel,BUG Delver,
1,Christopher Collado,UR Delver,,Lost,0,2,0,Gabriel Michaels,Burn,
1,John Donati,Death and Taxes,,Lost,0,2,0,James Johnson,ANT,Entomb
1,Sheldon Dugas-mcclure,Eldrazi Taxes,,Lost,0,1,0,Christopher Fornace,Nic Fit,4c
1,Jeremy Edwards,BR Reanimator,Tin Fins,Won,2,0,0,Adam Prusa,RIP Control,
1,Chris Erickson,UW Foretold,,Won,2,1,0,Joseph Zimmerman,Manaless Dredge,
1,Isaac Espada,Burn,,Won,2,0,0,Chrissy Asquith,RG Lands,
1,Christopher Fornace,Nic Fit,4c,Won,1,0,0,Sheldon Dugas-mcclure,Eldrazi Taxes,
1,Curtis Giese,Naya Blitz,,Won,2,0,0,Daniel Munoz,Pox,
1,James Gleixner,UWR Stoneblade,,Drew,1,1,0,Daniel Brittain,UWR Stoneblade,
1,Mack Greene,Reanimator Depths,,Won,2,1,0,Michael Wallio,Grixis Ninjas,
1,Stuart Grinch,Wizards,,Won,2,1,0,Robert Waters,ANT,
1,Neil Hartman,Moon Stompy,,Won,2,1,0,Vikram Kudva,Nic Fit,Junk
1,Robin Hartshorn,UWR Stoneblade,,Won,2,1,0,Ludvic Pitre,Manaless Dredge,
1,Neil Henly,UWR Stoneblade,,Lost,1,2,0,Skyler Weinkauf,OmniSneak,
1,Justin Hrala,Eldrazi,,Won,2,0,0,Joshua Bunnell,Enchantress,
1,Samuel Hriljac,RIP Control,,Won,2,0,0,Dylan Jordan,High Tide,
1,James Johnson,ANT,Entomb,Won,2,0,0,John Donati,Death and Taxes,
1,Dylan Jordan,High Tide,,Lost,0,2,0,Samuel Hriljac,RIP Control,
1,Cody Keiser,Reanimator,,Lost,1,2,0,Randy Yao,Elves,
1,Mike Kiesel,UWR Stoneblade,,Won,2,0,0,Timothy Li,Death and Taxes,
1,Vikram Kudva,Nic Fit,Junk,Lost,1,2,0,Neil Hartman,Moon Stompy,
1,Tavis Levchak,Goblins,Rbw,Lost,1,2,0,Daniel Nguyen,BUG Control,
1,Bill Li,Death and Taxes,,Won,2,0,0,Raul Mendoza,Burn,
1,Timothy Li,Death and Taxes,,Lost,0,2,0,Mike Kiesel,UWR Stoneblade,
1,Rolf Ludviksen,BR Reanimator,,Lost,0,2,0,Gary Mcneely,Elves,
1,Tom Lynch,OmniSneak,,Won,2,0,0,Patrick Tierney,RG Lands,
1,Russell Martin,UWR Stoneblade,,Won,2,0,0,Collin Brady,ANT,
1,Barbara Mccann,Merfolk,,Won,2,1,0,Daniel Naylor,BR Reanimator,
1,Gary Mcneely,Elves,,Won,2,0,0,Rolf Ludviksen,BR Reanimator,
1,Anthony Mendez,Burn,,Won,2,0,0,Steven Boday,Burn,RW
1,Raul Mendoza,Burn,,Lost,0,2,0,Bill Li,Death and Taxes,
1,Brandon Merkel,Death and Taxes,,Lost,0,2,0,Kelvin Wallace,Grixis Delver,
1,Gabriel Michaels,Burn,,Won,2,0,0,Christopher Collado,UR Delver,
1,Daniel Munoz,Pox,,Lost,0,2,0,Curtis Giese,Naya Blitz,
1,Mike Nause,ANT,,Lost,0,2,0,Richard Neal,Czech Pile,
1,Daniel Naylor,BR Reanimator,,Lost,1,2,0,Barbara Mccann,Merfolk,
1,Richard Neal,Czech Pile,,Won,2,0,0,Mike Nause,ANT,
1,Daniel Nguyen,BUG Control,,Won,2,1,0,Tavis Levchak,Goblins,Rbw
1,Lee Hung Nguyen,Edlrazi,Post,Won,2,1,0,Trevor Watson,Death and Taxes,
1,Elija Pfister,Merfolk,,Lost,1,2,0,Alex Scott,Death and Taxes,
