Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,UWR Stoneblade,,Won,2,0,0,Dan Mortensen,UR Control,Punishing Thing
1,Brian Andersen,Food Chain,,Lost,1,2,0,Zac Forshee,UWR Stoneblade,
1,Dave Asbury,Turbo Depths,Junk,Won,2,1,0,Nicholas Trettel,BUG Delver,
1,Shane Ash,Turbo Depths,,Lost,1,2,0,Bryce Tippett,Enchantress,GWb
1,Brian Bennett,Show and Tell,Omni/Sneak,Won,2,0,0,Justin Hrala,Eldrazi,
1,Steven Britton,Aluren,BUG,Drew,1,1,1,Michael Wallio,Grixis Control,Ninjas
1,Randy Buehler,Czech Pile,,Won,2,0,0,Samuel Fairchild,Grixis Delver,
1,Solomon Burgess,RUG Delver,,Won,2,1,0,Andy Stowell,Czech Pile,
1,Patrick Casey,Imperial Painter,RW,Lost,0,2,0,Samuel Hriljac,Miracles,
1,Joseph Christensen,4c Loam,,Lost,1,2,0,Bill Li,Death and Taxes,
1,Alonso Cisternas,Jund,Punishing,Won,2,1,0,Robert Starke,BR Reanimator,
1,Christopher Cornejo,Czech Pile,,Lost,0,2,0,Shawn Yu,Czech Pile,
1,John Donati,Death and Taxes,,Lost,1,2,0,Michael Tessier,Grixis Control,
1,Jeremy Edwards,Tin Fins,,Won,2,1,0,Michael Swailes,Grixis Delver,
1,Samuel Fairchild,Grixis Delver,,Lost,0,2,0,Randy Buehler,Czech Pile,
1,Zac Forshee,UWR Stoneblade,,Won,2,1,0,Brian Andersen,Food Chain,
1,Justin Hrala,Eldrazi,,Lost,0,2,0,Brian Bennett,Show and Tell,Omni/Sneak
1,Samuel Hriljac,Miracles,,Won,2,0,0,Patrick Casey,Imperial Painter,RW
1,Rob Hunsaker,Show and Tell,Sneak,Won,2,0,0,Raul Mendoza,Burn,
1,James Johnson,Storm,"ANT, Entomb",Won,2,1,0,Timothy Wilder,Bant Deathblade,
1,Mike Kiesel,Combo Lands,RG,Lost,0,2,0,Tom Lynch,Show and Tell,Omni/Sneak
1,Joel Kittinger,Pox,Bw,Won,2,0,0,Sam Tang,Grixis Delver,
1,Bill Li,Death and Taxes,,Won,2,1,0,Joseph Christensen,4c Loam,
1,Timothy Li,Death and Taxes,,Lost,1,2,0,Biondi Lun,Show and Tell,"Omni, UB"
1,Biondi Lun,Show and Tell,"Omni, UB",Won,2,1,0,Timothy Li,Death and Taxes,
1,Tom Lynch,Show and Tell,Omni/Sneak,Won,2,0,0,Mike Kiesel,Combo Lands,RG
1,Tyler Marklyn,Bant,Brave Sir Robin,Won,2,1,0,Tom Williams,Tezzeret,Grixis
1,Russell Martin,Miracles,,Won,2,1,0,Marco Martinez,Combo Lands,RG
1,Marco Martinez,Combo Lands,RG,Lost,1,2,0,Russell Martin,Miracles,
1,Jake Mccune,Maverick,,Won,2,1,0,Josh Monks,UR Delver,
