Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jon Barber,Shardless BUG,,Won,2,0,0,Peter Smutko,UWR Vial,
1,Daniel Brittain,Grixis Delver,,Won,2,1,0,Bobby Dygert,Angel Stompy,
1,Joseph Chlebouski,Nic Fit,BUG Pod,Won,2,1,0,Riley Klinger,Deathblade,
1,Thomas Cornett,RUG Delver,,Won,2,0,0,Aaron Crosett,ANT,
1,Peter Cottell,BUG Lands,,Won,2,1,0,Nick Wolfe,Merfolk,
1,Aaron Crosett,ANT,,Lost,0,2,0,Thomas Cornett,RUG Delver,
1,Joseph Dipiano,Infect,,Lost,1,2,0,David Scott,Miracles,
1,Willy Donaldson,RG Lands,,Drew,1,1,0,Richard Neal,Shardless BUG,
1,Bobby Dygert,Angel Stompy,,Lost,1,2,0,Daniel Brittain,Grixis Delver,
1,Jeremy Edwards,Eldrazi,UW,Won,2,0,0,Liam Tyrrell,RUG Delver,
1,Chris Erickson,Sneak and Show,,Won,2,1,0,Karl Spreine,Grixis Delver,
1,Zac Forshee,ANT,,Lost,0,2,0,Josh Monks,Death and Taxes,
1,Jesse Hampton,Miracles,,Won,2,1,0,Shawn Yu,Miracles,
1,Matt Hansen,Deathblade,,Lost,1,2,0,Russell Martin,Eldrazi,
1,Ethan Heilicher,Miracles,,Won,2,0,0,Adam Prusa,ANT,
1,Neil Henly,Shardless Bant,,Lost,0,2,0,Kris Williams,Eldrazi,
1,James Johnson,RUG Delver,,Lost,0,2,0,Tim Stone,Death and Taxes,
1,Alex Kibner,Infect,,Lost,1,2,0,Mike Kiesel,Miracles,
1,Mike Kiesel,Miracles,,Won,2,1,0,Alex Kibner,Infect,
1,Jeff Kinsey,Death and Taxes,,Won,2,0,0,Erik Mickel,Sneak and Show,
1,Riley Klinger,Deathblade,,Lost,1,2,0,Joseph Chlebouski,Nic Fit,BUG Pod
1,Frank Lepore,Sylvan Plug,,Bye,,,,,,
1,Bill Li,Death and Taxes,,Won,2,0,0,Michael Nixon,Miracles,
1,Zach Lincoln,RG Lands,RGb,Lost,0,2,0,Luke Westerburg,Omniscience,UB
1,Russell Martin,Eldrazi,,Won,2,1,0,Matt Hansen,Deathblade,
1,Brenden Mcbain,Imperial Painter,RW,Lost,1,2,0,James Wade,Deathblade,
1,Erik Mickel,Sneak and Show,,Lost,0,2,0,Jeff Kinsey,Death and Taxes,
1,Greg Mitchell,Miracles,,Drew,1,1,0,Dylan Petter,Miracles,
1,Josh Monks,Death and Taxes,,Won,2,0,0,Zac Forshee,ANT,
1,Richard Neal,Shardless BUG,,Drew,1,1,0,Willy Donaldson,RG Lands,
1,Michael Nixon,Miracles,,Lost,0,2,0,Bill Li,Death and Taxes,
1,Solomon Ossa,Grixis Delver,,Won,2,1,0,Chad Warford,Tin Fins,
1,Dylan Petter,Miracles,,Drew,1,1,0,Greg Mitchell,Miracles,
1,Adam Prusa,ANT,,Lost,0,2,0,Ethan Heilicher,Miracles,
1,David Scott,Miracles,,Won,2,1,0,Joseph Dipiano,Infect,
1,Peter Smutko,UWR Vial,,Lost,0,2,0,Jon Barber,Shardless BUG,
1,Karl Spreine,Grixis Delver,,Lost,1,2,0,Chris Erickson,Sneak and Show,
1,Tim Stone,Death and Taxes,,Won,2,0,0,James Johnson,RUG Delver,
1,Andy Stowell,Eldrazi,,Lost,1,2,0,Timothy Wilder,Miracles,
1,Liam Tyrrell,RUG Delver,,Lost,0,2,0,Jeremy Edwards,Eldrazi,UW
1,James Wade,Deathblade,,Won,2,1,0,Brenden Mcbain,Imperial Painter,RW
1,Chad Warford,Tin Fins,,Lost,1,2,0,Solomon Ossa,Grixis Delver,
1,Luke Westerburg,Omniscience,UB,Won,2,0,0,Zach Lincoln,RG Lands,RGb
1,Timothy Wilder,Miracles,,Won,2,1,0,Andy Stowell,Eldrazi,
1,Kris Williams,Eldrazi,,Won,2,0,0,Neil Henly,Shardless Bant,
1,Nick Wolfe,Merfolk,,Lost,1,2,0,Peter Cottell,BUG Lands,
1,Shawn Yu,Miracles,,Lost,1,2,0,Jesse Hampton,Miracles,
2,Jon Barber,Shardless BUG,,Won,2,1,0,Kris Williams,Eldrazi,
2,Daniel Brittain,Grixis Delver,,Won,2,0,0,Solomon Ossa,Grixis Delver,
2,Joseph Chlebouski,Nic Fit,BUG Pod,Lost,0,2,0,Josh Monks,Death and Taxes,
2,Thomas Cornett,RUG Delver,,Won,2,0,0,Ethan Heilicher,Miracles,
2,Peter Cottell,BUG Lands,,Won,2,0,0,Timothy Wilder,Miracles,
2,Aaron Crosett,ANT,,Lost,0,2,0,Karl Spreine,Grixis Delver,
2,Joseph Dipiano,Infect,,Lost,0,2,0,Riley Klinger,Deathblade,
2,Willy Donaldson,RG Lands,,Won,2,1,0,Dylan Petter,Miracles,
2,Bobby Dygert,Angel Stompy,,Lost,1,2,0,Neil Henly,Shardless Bant,
2,Jeremy Edwards,Eldrazi,UW,Won,2,1,0,Jesse Hampton,Miracles,
2,Chris Erickson,Sneak and Show,,Lost,1,2,0,David Scott,Miracles,
2,Zac Forshee,ANT,,Lost,1,2,0,Alex Kibner,Infect,
2,Jesse Hampton,Miracles,,Lost,1,2,0,Jeremy Edwards,Eldrazi,UW
2,Matt Hansen,Deathblade,,Lost,1,2,0,Peter Smutko,UWR Vial,
2,Ethan Heilicher,Miracles,,Lost,0,2,0,Thomas Cornett,RUG Delver,
2,Neil Henly,Shardless Bant,,Won,2,1,0,Bobby Dygert,Angel Stompy,
2,James Johnson,RUG Delver,,Won,2,0,0,Zach Lincoln,RG Lands,RGb
2,Alex Kibner,Infect,,Won,2,1,0,Zac Forshee,ANT,
2,Mike Kiesel,Miracles,,Won,2,0,0,Bill Li,Death and Taxes,
2,Jeff Kinsey,Death and Taxes,,Won,2,1,0,Luke Westerburg,Omniscience,UB
2,Riley Klinger,Deathblade,,Won,2,0,0,Joseph Dipiano,Infect,
2,Frank Lepore,Sylvan Plug,,Lost,0,2,0,Tim Stone,Death and Taxes,
2,Bill Li,Death and Taxes,,Lost,0,2,0,Mike Kiesel,Miracles,
2,Zach Lincoln,RG Lands,RGb,Lost,0,2,0,James Johnson,RUG Delver,
2,Russell Martin,Eldrazi,,Won,2,1,0,James Wade,Deathblade,
2,Brenden Mcbain,Imperial Painter,RW,Lost,0,2,0,Adam Prusa,ANT,
2,Erik Mickel,Sneak and Show,,Lost,0,2,0,Michael Nixon,Miracles,
2,Greg Mitchell,Miracles,,Won,2,0,0,Richard Neal,Shardless BUG,
2,Josh Monks,Death and Taxes,,Won,2,0,0,Joseph Chlebouski,Nic Fit,BUG Pod
2,Richard Neal,Shardless BUG,,Lost,0,2,0,Greg Mitchell,Miracles,
2,Michael Nixon,Miracles,,Won,2,0,0,Erik Mickel,Sneak and Show,
2,Solomon Ossa,Grixis Delver,,Lost,0,2,0,Daniel Brittain,Grixis Delver,
2,Dylan Petter,Miracles,,Lost,1,2,0,Willy Donaldson,RG Lands,
2,Adam Prusa,ANT,,Won,2,0,0,Brenden Mcbain,Imperial Painter,RW
2,David Scott,Miracles,,Won,2,1,0,Chris Erickson,Sneak and Show,
2,Peter Smutko,UWR Vial,,Won,2,1,0,Matt Hansen,Deathblade,
2,Karl Spreine,Grixis Delver,,Won,2,0,0,Aaron Crosett,ANT,
2,Tim Stone,Death and Taxes,,Won,2,0,0,Frank Lepore,Sylvan Plug,
2,Andy Stowell,Eldrazi,,Lost,1,2,0,Shawn Yu,Miracles,
2,Liam Tyrrell,RUG Delver,,Bye,,,,,,
2,James Wade,Deathblade,,Lost,1,2,0,Russell Martin,Eldrazi,
2,Chad Warford,Tin Fins,,Won,2,0,0,Nick Wolfe,Merfolk,
2,Luke Westerburg,Omniscience,UB,Lost,1,2,0,Jeff Kinsey,Death and Taxes,
2,Timothy Wilder,Miracles,,Lost,0,2,0,Peter Cottell,BUG Lands,
2,Kris Williams,Eldrazi,,Lost,1,2,0,Jon Barber,Shardless BUG,
2,Nick Wolfe,Merfolk,,Lost,0,2,0,Chad Warford,Tin Fins,
2,Shawn Yu,Miracles,,Won,2,1,0,Andy Stowell,Eldrazi,
3,Jon Barber,Shardless BUG,,Lost,1,2,0,Josh Monks,Death and Taxes,
3,Daniel Brittain,Grixis Delver,,Drew,1,1,0,Jeremy Edwards,Eldrazi,UW
3,Joseph Chlebouski,Nic Fit,BUG Pod,Lost,1,2,0,Michael Nixon,Miracles,
3,Thomas Cornett,RUG Delver,,Lost,1,2,0,Willy Donaldson,RG Lands,
3,Peter Cottell,BUG Lands,,Won,2,1,0,Jeff Kinsey,Death and Taxes,
3,Aaron Crosett,ANT,,Lost,1,2,0,Matt Hansen,Deathblade,
3,Willy Donaldson,RG Lands,,Won,2,1,0,Thomas Cornett,RUG Delver,
3,Bobby Dygert,Angel Stompy,,Lost,0,2,0,Brenden Mcbain,Imperial Painter,RW
3,Jeremy Edwards,Eldrazi,UW,Drew,1,1,0,Daniel Brittain,Grixis Delver,
