Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,UWR Bladestill,,Lost,0,2,0,Michael Wallio,Burn,
1,Larry Behnsch,RG Lands,,Drew,1,1,0,Tristan Taylor,Turbo Depths,
1,Brian Bennett,Omni-Sneak,,Won,2,1,0,Michael Eades,BUG Delver,
1,Paul Blake,BUG Delver,,Lost,1,2,0,Jeremy Edwards,Moon Stompy,
1,Collin Brady,Miracles,,Won,2,1,0,Jeff Brady,Burn,
1,Jeff Brady,Burn,,Lost,1,2,0,Collin Brady,Miracles,
1,Kyle Brady,Death and Taxes,,Lost,1,2,0,Andy Stowell,Dragon Stompy,
1,Marty Clark,Death and Taxes,,Won,2,0,0,Chris Herold,Shardless BUG,
1,Michael Eades,BUG Delver,,Lost,1,2,0,Brian Bennett,Omni-Sneak,
1,Jeremy Edwards,Moon Stompy,,Won,2,1,0,Paul Blake,BUG Delver,
1,Percy Fang,BUG Delver,,Won,2,0,0,Justin Hrala,Eldrazi,
1,Alex Ford,Manaless Dredge,,Won,2,0,0,Matt Sokolowsky,Miracles,
1,Christopher Fornace,BUG Midrange,,Won,2,1,0,Russell Martin,4c Loam,
1,Daniel Goh,Death and Taxes,,Won,2,1,0,Tyler Marklyn,Tezzeret,Grixis
1,Connor Gracia,Infect,,Lost,1,2,0,Nick Ragazzo,Death and Taxes,
1,Matt Hansen,Shardless BUG,,Lost,0,2,0,Brenden Mcbain,Imperial Painter,
1,Chris Herold,Shardless BUG,,Lost,0,2,0,Marty Clark,Death and Taxes,
1,Kai Hicks,Bant Deathblade,,Lost,0,2,0,Timothy Wilder,Miracles,
1,Justin Hrala,Eldrazi,,Lost,0,2,0,Percy Fang,BUG Delver,
1,Conor Jacob,Jund,Punishing,Won,2,0,0,Colton Sandford,BUG Midrange,
1,James Johnson,ANT,,Won,2,1,0,Derrick Jones,Miracles,
1,Derrick Jones,Miracles,,Lost,1,2,0,James Johnson,ANT,
1,Mike Kiesel,Tin Fins,,Won,2,0,0,Bill Li,Death and Taxes,
1,Case Kiyonaga,Eldrazi,White,Won,2,1,0,Alex Scott,Death and Taxes,
