Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Tony Bakkala,Sneak and Show,,Lost,0,2,0,Conor Jacob,UWR Stoneblade,
1,Brian Bennett,Sneak and Show,,Won,2,1,0,Matthew Hansen,Shardless BUG,
1,Collin Brady,ANT,,Won,2,0,0,Randy Yao,Grixis Delver,
1,Garth Brewe,Burn,,Won,2,1,0,Jeremy Edwards,BUG Delver,
1,Will Brooks,Miracles,,Lost,1,2,0,James Johnson,ANT,
1,Drake Campbell,Grixis Control,,Lost,0,2,0,Richard Chembars,Grixis Delver,
1,Sean Catanese,BUG Vial,,Lost,1,2,0,Richard Neal,Bant Deathblade,
1,Richard Chembars,Grixis Delver,,Won,2,0,0,Drake Campbell,Grixis Control,
1,Michael Chonka,BR Reanimator,,Lost,0,2,0,Adam Prusa,RIP Control,
1,Casey Clingan,UWR Stoneblade,,Lost,1,2,0,Scott Ferguson,BUG Midrange,
1,Axel Cobb,Pox,,Lost,1,2,0,Chad Warford,Turbo Depths,
1,Ryan Coverdale,ANT,,Won,2,1,0,Michael Jusenius,Grixis Delver,
1,Ian Davis,Reanimator,BUG,Won,2,1,0,Rudy Maynard,4c Loam,
1,Jeremy Edwards,BUG Delver,,Lost,1,2,0,Garth Brewe,Burn,
1,Isaac Espada,Burn,,Won,2,1,0,Scott Masterson,Infect,
1,Percy Fang,BUG Delver,,Lost,0,2,0,Jake Mccune,Jund,
1,Scott Ferguson,BUG Midrange,,Won,2,1,0,Casey Clingan,UWR Stoneblade,
1,Milan Fillipi,BUG Delver,,Lost,1,2,0,Karl Spreine,Sneak and Show,
1,Alex Ford,Manaless Dredge,,Lost,0,2,0,Shawn Yu,Aluren,BUG
1,Daniel Goh,Bant Deathblade,,Won,2,0,0,Samuel Hriljac,RIP Control,
1,Mack Greene,BR Reanimator,,Lost,1,2,0,Josh Monks,Death and Taxes,
1,Jarrod Hamerly,Grixis Delver,,Won,2,1,0,Eli Tripoli,Manaless Dredge,
1,Matthew Hansen,Shardless BUG,,Lost,1,2,0,Brian Bennett,Sneak and Show,
1,James Helms,4c Loam,,Won,2,1,0,William Myers,Sneak and Show,
1,Neil Henly,UWR Stoneblade,,Won,2,1,0,David Scott,TES,
1,Justin Hrala,Eldrazi,,Lost,0,2,0,Kelvin Wallace,Grixis Delver,
1,Samuel Hriljac,RIP Control,,Lost,0,2,0,Daniel Goh,Bant Deathblade,
1,Conor Jacob,UWR Stoneblade,,Won,2,0,0,Tony Bakkala,Sneak and Show,
1,James Johnson,ANT,,Won,2,1,0,Will Brooks,Miracles,
1,Blake Johnston,Pox,BG,Lost,1,2,0,Jacob Ohlde,Burn,
1,Michael Jusenius,Grixis Delver,,Lost,1,2,0,Ryan Coverdale,ANT,
