Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
3,Tim Wilder,Bant Deathblade,,Won,2,1,0,Brian Bennett,OmniSneak,
3,Shawn Yu,Grixis Control,,Lost,1,2,0,Samuel Hriljac,RIP Control,
4,Jordan Aisaka,UWR Control,,Lost,1,2,0,Elston Cloy,Moon Stompy,
4,Brian Bennett,OmniSneak,,Won,2,0,0,Alex Staver,RG Lands,
4,Garth Brewe,Burn,,ID,0,0,1,Samuel Hriljac,RIP Control,
4,Randy Buehler,4c Control,,Won,2,0,0,Adam Prusa,RIP Control,
4,Elston Cloy,Moon Stompy,,Won,2,1,0,Jordan Aisaka,UWR Control,
4,Jeremy Edwards,BUG Delver,,Lost,1,2,0,Matthew Staver,RG Lands,
4,Daniel Goh,Grixis Control,,Won,2,0,0,Martin Goldman-kirst,Aluren,R
4,Martin Goldman-kirst,Aluren,R,Lost,0,2,0,Daniel Goh,Grixis Control,
4,Samuel Hriljac,RIP Control,,ID,0,0,1,Garth Brewe,Burn,
4,James Johnson,RUG Delver,,Lost,0,2,0,Shawn Yu,Grixis Control,
4,Tyler Marklyn,Tezzeret,Grixis,Lost,0,2,0,Greg Mitchell,Reanimator,
4,Greg Mitchell,Reanimator,,Won,2,0,0,Tyler Marklyn,Tezzeret,Grixis
4,Nikita Petrov,Elves,,Won,2,0,0,Brad Rutherford,Sneak and Show,
4,Adam Prusa,RIP Control,,Lost,0,2,0,Randy Buehler,4c Control,
4,Benjamin Ricahrds,4c Loam,,Lost,0,2,0,Michael Wallio,UR Delver,
4,Brad Rutherford,Sneak and Show,,Lost,0,2,0,Nikita Petrov,Elves,
4,Alex Staver,RG Lands,,Lost,0,2,0,Brian Bennett,OmniSneak,
4,Matthew Staver,RG Lands,,Won,2,1,0,Jeremy Edwards,BUG Delver,
4,Andy Stowell,UR Delver,,Lost,1,2,0,Miles Wallio,Goblins,
4,Shawn Tabrizi,Grixis Delver,,Won,2,1,0,Tim Wilder,Bant Deathblade,
4,Michael Wallio,UR Delver,,Won,2,0,0,Benjamin Ricahrds,4c Loam,
4,Miles Wallio,Goblins,,Won,2,1,0,Andy Stowell,UR Delver,
4,Tim Wilder,Bant Deathblade,,Lost,1,2,0,Shawn Tabrizi,Grixis Delver,
4,Shawn Yu,Grixis Control,,Won,2,0,0,James Johnson,RUG Delver,
5,Jordan Aisaka,UWR Control,,Won,2,0,0,Daniel Goh,Grixis Control,
5,Brian Bennett,OmniSneak,,Lost,0,2,0,Adam Prusa,RIP Control,
5,Garth Brewe,Burn,,ID,0,0,1,Matthew Staver,RG Lands,
5,Randy Buehler,4c Control,,ID,0,0,1,Samuel Hriljac,RIP Control,
5,Elston Cloy,Moon Stompy,,ID,0,0,1,Shawn Yu,Grixis Control,
5,Jeremy Edwards,BUG Delver,,ID,0,0,1,Nikita Petrov,Elves,
5,Daniel Goh,Grixis Control,,Lost,0,2,0,Jordan Aisaka,UWR Control,
5,Martin Goldman-kirst,Aluren,R,Won,2,0,0,Miles Wallio,Goblins,
5,Samuel Hriljac,RIP Control,,ID,0,0,1,Randy Buehler,4c Control,
5,James Johnson,RUG Delver,,Won,2,1,0,Shawn Tabrizi,Grixis Delver,
5,Tyler Marklyn,Tezzeret,Grixis,Lost,1,2,0,Michael Wallio,UR Delver,
5,Greg Mitchell,Reanimator,,Lost,0,2,0,Tim Wilder,Bant Deathblade,
5,Nikita Petrov,Elves,,ID,0,0,1,Jeremy Edwards,BUG Delver,
5,Adam Prusa,RIP Control,,Won,2,0,0,Brian Bennett,OmniSneak,
5,Benjamin Ricahrds,4c Loam,,Bye,,,,,,
5,Alex Staver,RG Lands,,Won,2,1,0,Andy Stowell,UR Delver,
5,Matthew Staver,RG Lands,,ID,0,0,1,Garth Brewe,Burn,
5,Andy Stowell,UR Delver,,Lost,1,2,0,Alex Staver,RG Lands,
5,Shawn Tabrizi,Grixis Delver,,Lost,1,2,0,James Johnson,RUG Delver,
5,Michael Wallio,UR Delver,,Won,2,1,0,Tyler Marklyn,Tezzeret,Grixis
5,Miles Wallio,Goblins,,Lost,0,2,0,Martin Goldman-kirst,Aluren,R
5,Tim Wilder,Bant Deathblade,,Won,2,0,0,Greg Mitchell,Reanimator,
5,Shawn Yu,Grixis Control,,ID,0,0,1,Elston Cloy,Moon Stompy,
Q,Garth Brewe,Burn,,Lost,1,2,0,Shawn Yu,Grixis Control,
Q,Randy Buehler,4c Control,,Won,2,0,0,Adam Prusa,RIP Control,
Q,Elston Cloy,Moon Stompy,,Won,2,0,0,Matthew Staver,RG Lands,
Q,Samuel Hriljac,RIP Control,,Won,2,0,0,James Johnson,RUG Delver,
Q,James Johnson,RUG Delver,,Lost,0,2,0,Samuel Hriljac,RIP Control,
Q,Adam Prusa,RIP Control,,Lost,0,2,0,Randy Buehler,4c Control,
Q,Matthew Staver,RG Lands,,Lost,0,2,0,Elston Cloy,Moon Stompy,
Q,Shawn Yu,Grixis Control,,Won,2,1,0,Garth Brewe,Burn,
S,Randy Buehler,4c Control,,Won,2,0,0,Elston Cloy,Moon Stompy,
S,Elston Cloy,Moon Stompy,,Lost,0,2,0,Randy Buehler,4c Control,
S,Samuel Hriljac,RIP Control,,Lost,1,2,0,Shawn Yu,Grixis Control,
S,Shawn Yu,Grixis Control,,Won,2,1,0,Samuel Hriljac,RIP Control,
F,Randy Buehler,4c Control,,Won,2,1,0,Shawn Yu,Grixis Control,
F,Shawn Yu,Grixis Control,,Lost,1,2,0,Randy Buehler,4c Control,
