Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,UWR Bladestill,,Won,2,1,0,Jamal Sims,Manaless Dredge,
1,Matt Anderson,White Stax,,Lost,0,2,0,Tyler Marklyn,Devoted Maverick Combo,
1,Shane Ash,Sneak and Show,,Won,2,0,0,Collin Brady,12-Post,G
1,Collin Brady,12-Post,G,Lost,0,2,0,Shane Ash,Sneak and Show,
1,Andrew Bruce,Belcher,,Match Loss,,,,,,
1,Drake Campell,Grixis Control,,Lost,0,2,0,Jeremy Edwards,BUG Delver,
1,Joseph Chlebouski,Food Chain,,Won,2,0,0,Josh Monks,Death and Taxes,
1,Elston Cloy,BR Reanimator,,Lost,1,2,0,Russell Martin,4c Loam Control,
1,Philip Dodge,UWR Stoneblade,,Drew,1,1,0,Stephen Peters,Infect,
1,Thomas Dowd,Burn,,Match Loss,,,,,,
1,Jeremy Edwards,BUG Delver,,Won,2,0,0,Drake Campell,Grixis Control,
1,Dakota Giddings,RUG Delver,,Match Loss,,,,,,
1,Daniel Goh,Noble BUG,,Won,2,1,0,Mike Nause,Death and Taxes,
1,Mack Greene,Merfolk,,Lost,1,2,0,William Wright,5c Delver Blade,
1,Matthew Hansen,Shardless BUG,,Won,2,0,0,Rudy Maynard,Red Stompy,
1,Kris Heglie,Eldrazi,,Won,2,1,0,Scott Masterson,Infect,
1,Neil Henly,Reanimator,,Lost,1,2,0,Thomas Lynch,Sneak and Show,
1,Daniel Herrera,Ankh Sligh,,Lost,0,2,0,Paul Riordan,BUG Delver,
1,Justin Hrala,Eldrazi,,Won,2,0,0,John Mickelsen,Burn,
1,Aaron Key,BR Reanimator,,Won,2,1,0,Jeff Mendoza,Elves,
1,Mike Kiesel,Lands,RUG,Lost,0,2,0,Thomas Lancaster,Aluren,BUG
1,Joel Kittinger,Pox,,Lost,0,2,0,Skylar Lucero,Eldrazi Post,
1,Luke Kutrich,Mill,,Lost,0,2,0,Shawn Tabrizi,Grixis Delver,
1,Thomas Lancaster,Aluren,BUG,Won,2,0,0,Mike Kiesel,Lands,RUG
1,Skylar Lucero,Eldrazi Post,,Won,2,0,0,Joel Kittinger,Pox,
1,Biondi Lun,Omniscience,UB,Lost,0,2,0,Karl Spreine,Grixis Delver,
1,Thomas Lynch,Sneak and Show,,Won,2,1,0,Neil Henly,Reanimator,
1,Tyler Marklyn,Devoted Maverick Combo,,Won,2,0,0,Matt Anderson,White Stax,
1,Russell Martin,4c Loam Control,,Won,2,1,0,Elston Cloy,BR Reanimator,
1,Scott Masterson,Infect,,Lost,1,2,0,Kris Heglie,Eldrazi,
1,Rudy Maynard,Red Stompy,,Lost,0,2,0,Matthew Hansen,Shardless BUG,
1,Jake Mccune,Jund,Punishing,Won,2,1,0,Daniel Nguyen,Elves,
1,Jeff Mendoza,Elves,,Lost,1,2,0,Aaron Key,BR Reanimator,
1,John Mickelsen,Burn,,Lost,0,2,0,Justin Hrala,Eldrazi,
1,Greg Mitchell,RIP Helm Control,,Match Loss,,,,,,
1,Josh Monks,Death and Taxes,,Lost,0,2,0,Joseph Chlebouski,Food Chain,
1,Sam Mullen,Reanimator,,Won,2,0,0,Lauren Mulligan,Lands,RUG
1,Lauren Mulligan,Lands,RUG,Lost,0,2,0,Sam Mullen,Reanimator,
1,Mike Nause,Death and Taxes,,Lost,1,2,0,Daniel Goh,Noble BUG,
1,Richard Neal,Grixis Delver,,Won,2,0,0,Timothy Wilder,Sneak and Show,
1,Daniel Nguyen,Elves,,Lost,1,2,0,Jake Mccune,Jund,Punishing
1,Stephen Peters,Infect,,Drew,1,1,0,Philip Dodge,UWR Stoneblade,
1,Adam Prusa,RG Lands,,Lost,1,2,0,Matthew Staver,4c Loam,
1,Paul Riordan,BUG Delver,,Won,2,0,0,Daniel Herrera,Ankh Sligh,
1,Steven Robbins,Burn,,Won,2,1,0,Michael Wallio,Burn,
1,Jamal Sims,Manaless Dredge,,Lost,1,2,0,Jordan Aisaka,UWR Bladestill,
1,Karl Spreine,Grixis Delver,,Won,2,0,0,Biondi Lun,Omniscience,UB
1,Alex Staver,RG Lands,,Won,2,1,0,Shawn Yu,Elves,
1,Matthew Staver,4c Loam,,Won,2,1,0,Adam Prusa,RG Lands,
1,Shawn Tabrizi,Grixis Delver,,Won,2,0,0,Luke Kutrich,Mill,
1,Michael Wallio,Burn,,Lost,1,2,0,Steven Robbins,Burn,
1,Miles Wallio,Enchantress,GWb,Won,2,0,0,Andrew Wysocki,Reanimator,
1,Timothy Wilder,Sneak and Show,,Lost,0,2,0,Richard Neal,Grixis Delver,
1,William Wright,5c Delver Blade,,Won,2,1,0,Mack Greene,Merfolk,
1,Andrew Wysocki,Reanimator,,Lost,0,2,0,Miles Wallio,Enchantress,GWb
1,Shawn Yu,Elves,,Lost,1,2,0,Alex Staver,RG Lands,
2,Jordan Aisaka,UWR Bladestill,,Won,2,1,0,Matthew Hansen,Shardless BUG,
2,Matt Anderson,White Stax,,Won,2,0,0,Andrew Wysocki,Reanimator,
2,Shane Ash,Sneak and Show,,Lost,0,2,0,William Wright,5c Delver Blade,
2,Collin Brady,12-Post,G,Lost,0,2,0,Scott Masterson,Infect,
2,Andrew Bruce,Belcher,,Won,2,0,0,Neil Henly,Reanimator,
2,Drake Campell,Grixis Control,,Lost,0,2,0,Elston Cloy,BR Reanimator,
2,Joseph Chlebouski,Food Chain,,Won,2,1,0,Paul Riordan,BUG Delver,
2,Elston Cloy,BR Reanimator,,Won,2,0,0,Drake Campell,Grixis Control,
2,Philip Dodge,UWR Stoneblade,,Lost,0,2,0,Jeremy Edwards,BUG Delver,
