Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Natnael Abate,Grixis Delver,,Won,1,0,0,Ben Haun,Death and Taxes,
1,Jordan Aisaka,UWR Bladestill,,Lost,0,2,0,Rudy Maynard,4c Loam,
1,Tony Bakkala,Sneak and Show,Omni,Won,2,0,0,Josh Monks,Death and Taxes,
1,Garth Brewe,Burn,,Won,2,1,0,Thomas Lancaster,Infect,
1,Sean Catanese,Nether Vial,,Lost,0,2,0,Jesse Kunz,Sneak and Show,Omni
1,Michael Chonka,BR Reanimator,,Won,2,0,0,Adam Prusa,TES,
1,Joseph Christensen,BR Reanimator,,Lost,0,2,0,Greg Mitchell,Miracles,
1,Martin Clark,BR Reanimator,,Lost,1,2,0,Kris Williams,Jund,Punishing
1,Axel Cobb,BR Reanimator,,Won,2,0,0,Justin Hrala,Eldrazi,
1,Ryan Coverdale,ANT,,Drew,1,1,0,David Scott,Miracles,
1,Jeremy Edwards,Eldrazi,12-Post,Lost,1,2,0,Michael Wallio,Burn,
1,Christopher Fornace,BUG Delver,Death's Shadow,Lost,1,2,0,Bill Li,Death and Taxes,
1,Daniel Goh,Bant Deathblade,,Lost,1,2,0,Chris Van Meter,BR Reanimator,
1,Jarrod Hamerly,Noble Duke,,Lost,1,2,0,Mike Kiesel,BUG Delver,
1,Ben Haun,Death and Taxes,,Lost,0,1,0,Natnael Abate,Grixis Delver,
1,Justin Hrala,Eldrazi,,Lost,0,2,0,Axel Cobb,BR Reanimator,
1,Mike Kiesel,BUG Delver,,Won,2,1,0,Jarrod Hamerly,Noble Duke,
1,Nikos Kofinas,Shardless BUG,,Drew,1,1,0,Tim Wilder,Death and Taxes,
1,Jesse Kunz,Sneak and Show,Omni,Won,2,0,0,Sean Catanese,Nether Vial,
1,Thomas Lancaster,Infect,,Lost,1,2,0,Garth Brewe,Burn,
1,Bill Li,Death and Taxes,,Won,2,1,0,Christopher Fornace,BUG Delver,Death's Shadow
1,Rudy Maynard,4c Loam,,Won,2,0,0,Jordan Aisaka,UWR Bladestill,
1,Chance Mcdougal,Jund,Punishing,Lost,1,2,0,Alex Scott,Deadguy Ale,
1,Greg Mitchell,Miracles,,Won,2,0,0,Joseph Christensen,BR Reanimator,
1,Josh Monks,Death and Taxes,,Lost,0,2,0,Tony Bakkala,Sneak and Show,Omni
1,Adam Prusa,TES,,Lost,0,2,0,Michael Chonka,BR Reanimator,
1,Joe Ricci,UB Tezzeret,,Won,2,0,0,Karl Spreine,Death and Taxes,
1,Jacob Roberts,Bant Deathblade,,Won,2,0,0,Miles Wallio,Elves,
1,Alex Scott,Deadguy Ale,,Won,2,1,0,Chance Mcdougal,Jund,Punishing
1,David Scott,Miracles,,Drew,1,1,0,Ryan Coverdale,ANT,
1,Karl Spreine,Death and Taxes,,Lost,0,2,0,Joe Ricci,UB Tezzeret,
1,Chris Van Meter,BR Reanimator,,Won,2,1,0,Daniel Goh,Bant Deathblade,
1,Kelvin Wallace,Grixis Delver,,Bye,,,,,,
1,Michael Wallio,Burn,,Won,2,1,0,Jeremy Edwards,Eldrazi,12-Post
1,Miles Wallio,Elves,,Lost,0,2,0,Jacob Roberts,Bant Deathblade,
1,Tim Wilder,Death and Taxes,,Drew,1,1,0,Nikos Kofinas,Shardless BUG,
1,Kris Williams,Jund,Punishing,Won,2,1,0,Martin Clark,BR Reanimator,
1,Tyrel Woods,Grixis Delver,,Won,2,1,0,Leo Zoeckler,Ninja Landstill,
1,Leo Zoeckler,Ninja Landstill,,Lost,1,2,0,Tyrel Woods,Grixis Delver,
2,Natnael Abate,Grixis Delver,,Won,2,0,0,Kris Williams,Jund,Punishing
2,Jordan Aisaka,UWR Bladestill,,Won,2,0,0,Jeremy Edwards,Eldrazi,12-Post
2,Tony Bakkala,Sneak and Show,Omni,Lost,0,2,0,Bill Li,Death and Taxes,
2,Garth Brewe,Burn,,Won,2,1,0,Axel Cobb,BR Reanimator,
2,Sean Catanese,Nether Vial,,Lost,1,2,0,Jarrod Hamerly,Noble Duke,
2,Michael Chonka,BR Reanimator,,Won,2,0,0,Jesse Kunz,Sneak and Show,Omni
2,Joseph Christensen,BR Reanimator,,Lost,1,2,0,Thomas Lancaster,Infect,
2,Martin Clark,BR Reanimator,,Won,2,1,0,Chance Mcdougal,Jund,Punishing
2,Axel Cobb,BR Reanimator,,Lost,1,2,0,Garth Brewe,Burn,
2,Ryan Coverdale,ANT,,Lost,1,2,0,Tim Wilder,Death and Taxes,
2,Jeremy Edwards,Eldrazi,12-Post,Lost,0,2,0,Jordan Aisaka,UWR Bladestill,
2,Christopher Fornace,BUG Delver,Death's Shadow,Won,2,1,0,Leo Zoeckler,Ninja Landstill,
2,Daniel Goh,Bant Deathblade,,Drew,1,1,0,Ben Haun,Death and Taxes,
2,Jarrod Hamerly,Noble Duke,,Won,2,1,0,Sean Catanese,Nether Vial,
2,Ben Haun,Death and Taxes,,Drew,1,1,0,Daniel Goh,Bant Deathblade,
2,Justin Hrala,Eldrazi,,Won,2,1,0,Karl Spreine,Death and Taxes,
2,Mike Kiesel,BUG Delver,,Lost,0,2,0,Jacob Roberts,Bant Deathblade,
2,Nikos Kofinas,Shardless BUG,,Won,2,1,0,David Scott,Miracles,
2,Jesse Kunz,Sneak and Show,Omni,Lost,0,2,0,Michael Chonka,BR Reanimator,
2,Thomas Lancaster,Infect,,Won,2,1,0,Joseph Christensen,BR Reanimator,
2,Bill Li,Death and Taxes,,Won,2,0,0,Tony Bakkala,Sneak and Show,Omni
2,Rudy Maynard,4c Loam,,Lost,1,2,0,Chris Van Meter,BR Reanimator,
2,Chance Mcdougal,Jund,Punishing,Lost,1,2,0,Martin Clark,BR Reanimator,
2,Greg Mitchell,Miracles,,Won,2,0,0,Alex Scott,Deadguy Ale,
2,Josh Monks,Death and Taxes,,Won,2,1,0,Miles Wallio,Elves,
2,Adam Prusa,TES,,Bye,,,,,,
2,Joe Ricci,UB Tezzeret,,Lost,1,2,0,Michael Wallio,Burn,
2,Jacob Roberts,Bant Deathblade,,Won,2,0,0,Mike Kiesel,BUG Delver,
2,Alex Scott,Deadguy Ale,,Lost,0,2,0,Greg Mitchell,Miracles,
2,David Scott,Miracles,,Lost,1,2,0,Nikos Kofinas,Shardless BUG,
2,Karl Spreine,Death and Taxes,,Lost,1,2,0,Justin Hrala,Eldrazi,
2,Chris Van Meter,BR Reanimator,,Won,2,1,0,Rudy Maynard,4c Loam,
2,Kelvin Wallace,Grixis Delver,,Won,2,0,0,Tyrel Woods,Grixis Delver,
2,Michael Wallio,Burn,,Won,2,1,0,Joe Ricci,UB Tezzeret,
2,Miles Wallio,Elves,,Lost,1,2,0,Josh Monks,Death and Taxes,
2,Tim Wilder,Death and Taxes,,Won,2,1,0,Ryan Coverdale,ANT,
2,Kris Williams,Jund,Punishing,Lost,0,2,0,Natnael Abate,Grixis Delver,
2,Tyrel Woods,Grixis Delver,,Lost,0,2,0,Kelvin Wallace,Grixis Delver,
2,Leo Zoeckler,Ninja Landstill,,Lost,1,2,0,Christopher Fornace,BUG Delver,Death's Shadow
3,Natnael Abate,Grixis Delver,,Won,2,0,0,Michael Wallio,Burn,
3,Jordan Aisaka,UWR Bladestill,,Lost,0,2,0,Jesse Kunz,Sneak and Show,Omni
3,Tony Bakkala,Sneak and Show,Omni,Lost,0,2,0,Mike Kiesel,BUG Delver,
3,Garth Brewe,Burn,,Won,2,0,0,Kelvin Wallace,Grixis Delver,
3,Sean Catanese,Nether Vial,,Lost,1,2,0,Miles Wallio,Elves,
3,Michael Chonka,BR Reanimator,,Lost,1,2,0,Greg Mitchell,Miracles,
3,Joseph Christensen,BR Reanimator,,Lost,1,2,0,Jeremy Edwards,Eldrazi,12-Post
3,Martin Clark,BR Reanimator,,Won,2,1,0,Adam Prusa,TES,
3,Axel Cobb,BR Reanimator,,Won,2,0,0,Joe Ricci,UB Tezzeret,
3,Ryan Coverdale,ANT,,Won,2,0,0,Ben Haun,Death and Taxes,
3,Jeremy Edwards,Eldrazi,12-Post,Won,2,1,0,Joseph Christensen,BR Reanimator,
3,Christopher Fornace,BUG Delver,Death's Shadow,Drew,1,1,0,Kris Williams,Jund,Punishing
3,Daniel Goh,Bant Deathblade,,Won,2,0,0,David Scott,Miracles,
3,Jarrod Hamerly,Noble Duke,,Lost,1,2,0,Tyrel Woods,Grixis Delver,
3,Ben Haun,Death and Taxes,,Lost,0,2,0,Ryan Coverdale,ANT,
3,Justin Hrala,Eldrazi,,Lost,1,2,0,Rudy Maynard,4c Loam,
3,Mike Kiesel,BUG Delver,,Won,2,0,0,Tony Bakkala,Sneak and Show,Omni
3,Nikos Kofinas,Shardless BUG,,Lost,0,2,0,Chris Van Meter,BR Reanimator,
3,Jesse Kunz,Sneak and Show,Omni,Won,2,0,0,Jordan Aisaka,UWR Bladestill,
3,Thomas Lancaster,Infect,,Won,2,0,0,Tim Wilder,Death and Taxes,
3,Bill Li,Death and Taxes,,Won,2,1,0,Jacob Roberts,Bant Deathblade,
3,Rudy Maynard,4c Loam,,Won,2,1,0,Justin Hrala,Eldrazi,
3,Chance Mcdougal,Jund,Punishing,Bye,,,,,,
3,Greg Mitchell,Miracles,,Won,2,1,0,Michael Chonka,BR Reanimator,
3,Josh Monks,Death and Taxes,,Lost,0,2,0,Alex Scott,Deadguy Ale,
3,Adam Prusa,TES,,Lost,1,2,0,Martin Clark,BR Reanimator,
3,Joe Ricci,UB Tezzeret,,Lost,0,2,0,Axel Cobb,BR Reanimator,
