Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,UWR Bladestill,,Lost,1,2,0,Rudy Maynard,4c Loam,
1,Tony Bakkala,Eldrazi,UB,Lost,0,2,0,Ben Haun,Food Chain,
1,Joe Barry,12-Post,Bant,Lost,0,2,0,Gary Mcneely,Elves,
1,Paul Blake,BUG Delver,,Lost,0,2,0,Nikos Kofinas,Shardless BUG,
1,Kyle Brady,Sneak and Show,,Won,2,0,0,David Scott,Miracles,
1,Marty Clark,Death and Taxes,,Won,2,1,0,Bryce Deitt,Aluren,BUG
1,Axel Cobb,BR Reanimator,,Won,2,0,0,Jason Simms,Dredge,
1,Ryan Coverdale,ANT,,Lost,1,2,0,Daniel Martinez,BR Reanimator,
1,Ian Davis,Reanimator,,Drew,1,1,0,Generie Marc Peco,RG Lands,
1,Bryce Deitt,Aluren,BUG,Lost,1,2,0,Marty Clark,Death and Taxes,
1,Anthony Delorenzi,BUG Delver,,Lost,1,2,0,Dylan Petter,Miracles,
1,Michael Eades,BUG Delver,,Lost,1,2,0,Thomas Lancaster,Infect,
1,Percy Fang,BUG Delver,,Won,2,0,0,Alex Scott,Deadguy Ale,
1,Scott Ferguson,BUG Control,,Lost,1,2,0,Neil Henly,Shardless Bant,
1,Alex Ford,Manaless Dredge,,Won,2,0,0,Shawn Tabrizi,Grixis Delver,
1,Zac Forshee,ANT,,Lost,1,2,0,Michael Wallio,Burn,
1,Daniel Goh,Death and Taxes,,Lost,1,2,0,Jake Mccune,Jund,Punishing
1,Jarrod Hamerly,BUG Midrange,,Lost,1,2,0,Leo Zoeckler,Turbo Depths,
1,Ken Hamlett,Food Chain,,Lost,1,2,0,Tyler Westover,Infect,
1,Matthew Hansen,Shardless BUG,,Won,2,0,0,Jacob Roberts,Infect,
1,Ben Haun,Food Chain,,Won,2,0,0,Tony Bakkala,Eldrazi,UB
1,Yang He,Merfolk,,Won,2,0,0,Lauren Mulligan,RG Lands,
1,Neil Henly,Shardless Bant,,Won,2,1,0,Scott Ferguson,BUG Control,
1,Justin Hrala,Eldrazi,,Won,2,0,0,Matthew Staver,4c Loam,
1,Samuel Hriljac,Miracles,,Lost,0,2,0,Shawn Yu,4c Control,
1,James Johnson,ANT,,Lost,1,2,0,Miles Wallio,Elves,
1,Case Kiyonaga,Burn,,Lost,1,2,0,Brenden Mcbain,Imperial Painter,RW
1,Nikos Kofinas,Shardless BUG,,Won,2,0,0,Paul Blake,BUG Delver,
1,Thomas Lancaster,Infect,,Won,2,1,0,Michael Eades,BUG Delver,
1,Philip Luecke,Tezzeret,Grixis,Lost,1,2,0,Ian Mckeown,Bant Deathblade,
1,Russell Martin,Eldrazi,,Lost,0,2,0,Tristan Taylor,ANT,
1,Daniel Martinez,BR Reanimator,,Won,2,1,0,Ryan Coverdale,ANT,
1,Scott Masterson,Infect,,Won,2,1,0,Zac Ohnemus,BUG Delver,
1,Rudy Maynard,4c Loam,,Won,2,1,0,Jordan Aisaka,UWR Bladestill,
1,Brenden Mcbain,Imperial Painter,RW,Won,2,1,0,Case Kiyonaga,Burn,
1,Jake Mccune,Jund,Punishing,Won,2,1,0,Daniel Goh,Death and Taxes,
1,Ian Mckeown,Bant Deathblade,,Won,2,1,0,Philip Luecke,Tezzeret,Grixis
1,Gary Mcneely,Elves,,Won,2,0,0,Joe Barry,12-Post,Bant
1,Greg Mitchell,Tin Fins,,Won,2,1,0,Josh Monks,Death and Taxes,
1,Josh Monks,Death and Taxes,,Lost,1,2,0,Greg Mitchell,Tin Fins,
1,Lauren Mulligan,RG Lands,,Lost,0,2,0,Yang He,Merfolk,
1,Richard Neal,4c Control,,Won,2,1,0,Mason Trapp,12-Post,GB
1,Zac Ohnemus,BUG Delver,,Lost,1,2,0,Scott Masterson,Infect,
1,Generie Marc Peco,RG Lands,,Drew,1,1,0,Ian Davis,Reanimator,
1,Dylan Petter,Miracles,,Won,2,1,0,Anthony Delorenzi,BUG Delver,
1,Jacob Roberts,Infect,,Lost,0,2,0,Matthew Hansen,Shardless BUG,
1,Alex Scott,Deadguy Ale,,Lost,0,2,0,Percy Fang,BUG Delver,
1,David Scott,Miracles,,Lost,0,2,0,Kyle Brady,Sneak and Show,
1,Jason Simms,Dredge,,Lost,0,2,0,Axel Cobb,BR Reanimator,
1,Karl Spreine,BUG Midrange,,Lost,0,2,0,Tim Wilder,Miracles,
1,Matthew Staver,4c Loam,,Lost,0,2,0,Justin Hrala,Eldrazi,
1,Shawn Tabrizi,Grixis Delver,,Lost,0,2,0,Alex Ford,Manaless Dredge,
1,Tristan Taylor,ANT,,Won,2,0,0,Russell Martin,Eldrazi,
1,Mason Trapp,12-Post,GB,Lost,1,2,0,Richard Neal,4c Control,
1,Michael Wallio,Burn,,Won,2,1,0,Zac Forshee,ANT,
1,Miles Wallio,Elves,,Won,2,1,0,James Johnson,ANT,
1,Tyler Westover,Infect,,Won,2,1,0,Ken Hamlett,Food Chain,
1,Tim Wilder,Miracles,,Won,2,0,0,Karl Spreine,BUG Midrange,
1,Shawn Yu,4c Control,,Won,2,0,0,Samuel Hriljac,Miracles,
1,Leo Zoeckler,Turbo Depths,,Won,2,1,0,Jarrod Hamerly,BUG Midrange,
2,Jordan Aisaka,UWR Bladestill,,Lost,0,2,0,Joe Barry,12-Post,Bant
2,Tony Bakkala,Eldrazi,UB,Won,2,0,0,Jarrod Hamerly,BUG Midrange,
2,Joe Barry,12-Post,Bant,Won,2,0,0,Jordan Aisaka,UWR Bladestill,
2,Paul Blake,BUG Delver,,Lost,1,2,0,Josh Monks,Death and Taxes,
2,Kyle Brady,Sneak and Show,,Lost,0,2,0,Nikos Kofinas,Shardless BUG,
2,Marty Clark,Death and Taxes,,Drew,1,1,0,Rudy Maynard,4c Loam,
2,Axel Cobb,BR Reanimator,,Lost,1,2,0,Richard Neal,4c Control,
2,Ryan Coverdale,ANT,,Won,2,1,0,Case Kiyonaga,Burn,
2,Ian Davis,Reanimator,,Won,2,0,0,Tim Wilder,Miracles,
2,Bryce Deitt,Aluren,BUG,Won,2,1,0,Mason Trapp,12-Post,GB
2,Anthony Delorenzi,BUG Delver,,Won,2,1,0,Scott Ferguson,BUG Control,
2,Michael Eades,BUG Delver,,Lost,1,2,0,Philip Luecke,Tezzeret,Grixis
2,Percy Fang,BUG Delver,,Won,2,1,0,Brenden Mcbain,Imperial Painter,RW
2,Scott Ferguson,BUG Control,,Lost,1,2,0,Anthony Delorenzi,BUG Delver,
2,Alex Ford,Manaless Dredge,,Lost,1,2,0,Thomas Lancaster,Infect,
2,Zac Forshee,ANT,,Lost,1,2,0,Leo Zoeckler,Turbo Depths,
2,Daniel Goh,Death and Taxes,,Lost,0,2,0,Jason Simms,Dredge,
2,Jarrod Hamerly,BUG Midrange,,Lost,0,2,0,Tony Bakkala,Eldrazi,UB
2,Ken Hamlett,Food Chain,,Won,2,0,0,Michael Wallio,Burn,
2,Matthew Hansen,Shardless BUG,,Won,2,1,0,Tristan Taylor,ANT,
2,Ben Haun,Food Chain,,Lost,1,2,0,Gary Mcneely,Elves,
2,Yang He,Merfolk,,Lost,1,2,0,Scott Masterson,Infect,
2,Neil Henly,Shardless Bant,,Won,2,0,0,Jake Mccune,Jund,Punishing
2,Justin Hrala,Eldrazi,,Lost,1,2,0,Shawn Yu,4c Control,
2,Samuel Hriljac,Miracles,,Lost,1,2,0,Generie Marc Peco,RG Lands,
2,James Johnson,ANT,,Won,2,0,0,Zac Ohnemus,BUG Delver,
2,Case Kiyonaga,Burn,,Lost,1,2,0,Ryan Coverdale,ANT,
2,Nikos Kofinas,Shardless BUG,,Won,2,0,0,Kyle Brady,Sneak and Show,
2,Thomas Lancaster,Infect,,Won,2,1,0,Alex Ford,Manaless Dredge,
2,Philip Luecke,Tezzeret,Grixis,Won,2,1,0,Michael Eades,BUG Delver,
2,Russell Martin,Eldrazi,,Won,2,1,0,Jacob Roberts,Infect,
2,Daniel Martinez,BR Reanimator,,Lost,1,2,0,Dylan Petter,Miracles,
2,Scott Masterson,Infect,,Won,2,1,0,Yang He,Merfolk,
2,Rudy Maynard,4c Loam,,Drew,1,1,0,Marty Clark,Death and Taxes,
2,Brenden Mcbain,Imperial Painter,RW,Lost,1,2,0,Percy Fang,BUG Delver,
2,Jake Mccune,Jund,Punishing,Lost,0,2,0,Neil Henly,Shardless Bant,
2,Ian Mckeown,Bant Deathblade,,Won,2,1,0,Miles Wallio,Elves,
2,Gary Mcneely,Elves,,Won,2,1,0,Ben Haun,Food Chain,
2,Greg Mitchell,Tin Fins,,Won,2,0,0,Tyler Westover,Infect,
2,Josh Monks,Death and Taxes,,Won,2,1,0,Paul Blake,BUG Delver,
2,Lauren Mulligan,RG Lands,,Lost,0,2,0,Shawn Tabrizi,Grixis Delver,
2,Richard Neal,4c Control,,Won,2,1,0,Axel Cobb,BR Reanimator,
2,Zac Ohnemus,BUG Delver,,Lost,0,2,0,James Johnson,ANT,
2,Generie Marc Peco,RG Lands,,Won,2,1,0,Samuel Hriljac,Miracles,
2,Dylan Petter,Miracles,,Won,2,1,0,Daniel Martinez,BR Reanimator,
2,Jacob Roberts,Infect,,Lost,1,2,0,Russell Martin,Eldrazi,
2,Alex Scott,Deadguy Ale,,Lost,0,2,0,David Scott,Miracles,
2,David Scott,Miracles,,Won,2,0,0,Alex Scott,Deadguy Ale,
2,Jason Simms,Dredge,,Won,2,0,0,Daniel Goh,Death and Taxes,
2,Karl Spreine,BUG Midrange,,Lost,0,2,0,Matthew Staver,4c Loam,
2,Matthew Staver,4c Loam,,Won,2,0,0,Karl Spreine,BUG Midrange,
2,Shawn Tabrizi,Grixis Delver,,Won,2,0,0,Lauren Mulligan,RG Lands,
2,Tristan Taylor,ANT,,Lost,1,2,0,Matthew Hansen,Shardless BUG,
2,Mason Trapp,12-Post,GB,Lost,1,2,0,Bryce Deitt,Aluren,BUG
2,Michael Wallio,Burn,,Lost,0,2,0,Ken Hamlett,Food Chain,
2,Miles Wallio,Elves,,Lost,1,2,0,Ian Mckeown,Bant Deathblade,
2,Tyler Westover,Infect,,Lost,0,2,0,Greg Mitchell,Tin Fins,
2,Tim Wilder,Miracles,,Lost,0,2,0,Ian Davis,Reanimator,
2,Shawn Yu,4c Control,,Won,2,1,0,Justin Hrala,Eldrazi,
2,Leo Zoeckler,Turbo Depths,,Won,2,1,0,Zac Forshee,ANT,
3,Tony Bakkala,Eldrazi,UB,Lost,1,2,0,Scott Ferguson,BUG Control,
3,Joe Barry,12-Post,Bant,Lost,0,2,0,Jason Simms,Dredge,
3,Paul Blake,BUG Delver,,Bye,,,,,,
3,Kyle Brady,Sneak and Show,,Lost,1,2,0,Josh Monks,Death and Taxes,
3,Marty Clark,Death and Taxes,,Lost,0,2,0,Leo Zoeckler,Turbo Depths,
3,Axel Cobb,BR Reanimator,,Lost,0,2,0,James Johnson,ANT,
3,Ryan Coverdale,ANT,,Won,2,0,0,Jake Mccune,Jund,Punishing
3,Ian Davis,Reanimator,,Lost,0,2,0,Rudy Maynard,4c Loam,
3,Bryce Deitt,Aluren,BUG,Lost,1,2,0,Anthony Delorenzi,BUG Delver,
3,Anthony Delorenzi,BUG Delver,,Won,2,1,0,Bryce Deitt,Aluren,BUG
3,Michael Eades,BUG Delver,,Lost,0,2,0,Daniel Goh,Death and Taxes,
3,Percy Fang,BUG Delver,,Lost,0,2,0,Greg Mitchell,Tin Fins,
3,Scott Ferguson,BUG Control,,Won,2,1,0,Tony Bakkala,Eldrazi,UB
3,Alex Ford,Manaless Dredge,,Lost,1,2,0,Tristan Taylor,ANT,
3,Daniel Goh,Death and Taxes,,Won,2,0,0,Michael Eades,BUG Delver,
3,Jarrod Hamerly,BUG Midrange,,Won,2,1,0,Alex Scott,Deadguy Ale,
3,Ken Hamlett,Food Chain,,Lost,1,2,0,Justin Hrala,Eldrazi,
3,Matthew Hansen,Shardless BUG,,Won,2,0,0,Thomas Lancaster,Infect,
3,Ben Haun,Food Chain,,Drew,1,1,0,Yang He,Merfolk,
3,Yang He,Merfolk,,Drew,1,1,0,Ben Haun,Food Chain,
3,Neil Henly,Shardless Bant,,Lost,1,2,0,Ian Mckeown,Bant Deathblade,
3,Justin Hrala,Eldrazi,,Won,2,1,0,Ken Hamlett,Food Chain,
3,Samuel Hriljac,Miracles,,Won,2,0,0,Lauren Mulligan,RG Lands,
3,James Johnson,ANT,,Won,2,0,0,Axel Cobb,BR Reanimator,
3,Nikos Kofinas,Shardless BUG,,Drew,1,1,0,Dylan Petter,Miracles,
3,Thomas Lancaster,Infect,,Lost,0,2,0,Matthew Hansen,Shardless BUG,
3,Philip Luecke,Tezzeret,Grixis,Won,2,1,0,Tyler Westover,Infect,
3,Russell Martin,Eldrazi,,Lost,1,2,0,Generie Marc Peco,RG Lands,
3,Daniel Martinez,BR Reanimator,,Lost,0,2,0,Tim Wilder,Miracles,
3,Scott Masterson,Infect,,Won,2,1,0,Gary Mcneely,Elves,
3,Rudy Maynard,4c Loam,,Won,2,0,0,Ian Davis,Reanimator,
3,Brenden Mcbain,Imperial Painter,RW,Won,2,1,0,Michael Wallio,Burn,
3,Jake Mccune,Jund,Punishing,Lost,0,2,0,Ryan Coverdale,ANT,
3,Ian Mckeown,Bant Deathblade,,Won,2,1,0,Neil Henly,Shardless Bant,
3,Gary Mcneely,Elves,,Lost,1,2,0,Scott Masterson,Infect,
3,Greg Mitchell,Tin Fins,,Won,2,0,0,Percy Fang,BUG Delver,
3,Josh Monks,Death and Taxes,,Won,2,1,0,Kyle Brady,Sneak and Show,
3,Lauren Mulligan,RG Lands,,Lost,0,2,0,Samuel Hriljac,Miracles,
3,Richard Neal,4c Control,,Lost,1,2,0,Shawn Yu,4c Control,
3,Generie Marc Peco,RG Lands,,Won,2,1,0,Russell Martin,Eldrazi,
3,Dylan Petter,Miracles,,Drew,1,1,0,Nikos Kofinas,Shardless BUG,
3,Alex Scott,Deadguy Ale,,Lost,1,2,0,Jarrod Hamerly,BUG Midrange,
3,David Scott,Miracles,,Drew,1,1,0,Miles Wallio,Elves,
3,Jason Simms,Dredge,,Won,2,0,0,Joe Barry,12-Post,Bant
