Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jon Barber,Shardless BUG,,Lost,1,2,0,David Dimalanta,12-Post,Bant
1,Larry Behnsch,Merfolk,,Lost,0,2,0,James Helms,4c Loam,
1,Sam Burdick,ANT,,Lost,1,2,0,Daniel Smith,Miracles,
1,Daniel Chen,Burn,,Lost,0,2,0,Chris Van Meter,Sneak and Show,
1,Jon Clancy,UR Delver,,Won,2,0,0,Peter Smutko,Bant Midrange,
1,Isaac Conner,Nic Fit,BUG,Lost,0,2,0,Leo Zoeckler,Mono-Blue Tempo,
1,Wes Dawson,Turbo Depths,,Lost,0,2,0,Jeremy Edwards,Enchantress,GW
1,Anthony Delorenzi,Shardless BUG,,Lost,1,2,0,Aaron Gaudio,Shardless BUG,
1,David Dimalanta,12-Post,Bant,Won,2,1,0,Jon Barber,Shardless BUG,
1,Thomas Dowd,UR Delver,,Lost,0,2,0,Alex Kibner,Infect,
1,Josh Dupraw,Jund,Punishing,Lost,0,2,0,Jon O'Connor,Imperial Painter,RW
1,Jeremy Edwards,Enchantress,GW,Won,2,0,0,Wes Dawson,Turbo Depths,
1,Scott Ferguson,BUG Delver,,Won,2,1,0,Dylan Jupp,Reanimator,
1,Zac Forshee,ANT,,Lost,1,2,0,Justin Meadows,Eldrazi,
1,Aaron Gaudio,Shardless BUG,,Won,2,1,0,Anthony Delorenzi,Shardless BUG,
1,Jonathan Gingrich,UR Delver,,Lost,0,2,0,Thilo Strauss,BUG Delver,
1,Ethan Heilicher,Belcher,,Lost,1,2,0,Jordan Short,ANT,
1,James Helms,4c Loam,,Won,2,0,0,Larry Behnsch,Merfolk,
1,Chris Herold,Imperial Painter,RW,Won,2,1,0,Cory Jones,Leylines,
1,Stephen Hopkins,Maverick,GWb,Match Loss,,,,,,
1,Cory Jones,Leylines,,Lost,1,2,0,Chris Herold,Imperial Painter,RW
1,Dylan Jupp,Reanimator,,Lost,1,2,0,Scott Ferguson,BUG Delver,
1,Alex Kibner,Infect,,Won,2,0,0,Thomas Dowd,UR Delver,
1,Vikram Kudva,Nic Fit,Scapeshift,Lost,1,2,0,Randy Yao,Grixis Delver,
1,Thomas Lancaster,ANT,,Drew,1,1,0,Rudy Maynard,4c Loam,
1,Jacob Magers,Grixis Delver,,Lost,1,2,0,Greg Mitchell,Miracles,
1,Rudy Maynard,4c Loam,,Drew,1,1,0,Thomas Lancaster,ANT,
1,Justin Meadows,Eldrazi,,Won,2,1,0,Zac Forshee,ANT,
1,Greg Mitchell,Miracles,,Won,2,1,0,Jacob Magers,Grixis Delver,
1,Jon O'Connor,Imperial Painter,RW,Won,2,0,0,Josh Dupraw,Jund,Punishing
1,Jordan Short,ANT,,Won,2,1,0,Ethan Heilicher,Belcher,
1,Daniel Smith,Miracles,,Won,2,1,0,Sam Burdick,ANT,
1,Peter Smutko,Bant Midrange,,Lost,0,2,0,Jon Clancy,UR Delver,
1,Thilo Strauss,BUG Delver,,Won,2,0,0,Jonathan Gingrich,UR Delver,
1,Bruce Williamson,Stiflenought,,Match Loss,,,,,,
1,Chris Van Meter,Sneak and Show,,Won,2,0,0,Daniel Chen,Burn,
1,Randy Yao,Grixis Delver,,Won,2,1,0,Vikram Kudva,Nic Fit,Scapeshift
1,Leo Zoeckler,Mono-Blue Tempo,,Won,2,0,0,Isaac Conner,Nic Fit,BUG
2,Jon Barber,Shardless BUG,,Won,2,0,0,Zac Forshee,ANT,
2,Larry Behnsch,Merfolk,,Lost,0,2,0,Peter Smutko,Bant Midrange,
2,Sam Burdick,ANT,,Won,2,0,0,Ethan Heilicher,Belcher,
2,Daniel Chen,Burn,,Won,2,1,0,Wes Dawson,Turbo Depths,
2,Jon Clancy,UR Delver,,Lost,1,2,0,Alex Kibner,Infect,
2,Isaac Conner,Nic Fit,BUG,Lost,0,2,0,Jonathan Gingrich,UR Delver,
2,Wes Dawson,Turbo Depths,,Lost,1,2,0,Daniel Chen,Burn,
2,Anthony Delorenzi,Shardless BUG,,Won,2,0,0,Thomas Dowd,UR Delver,
2,David Dimalanta,12-Post,Bant,Lost,0,2,0,Aaron Gaudio,Shardless BUG,
2,Thomas Dowd,UR Delver,,Lost,0,2,0,Anthony Delorenzi,Shardless BUG,
2,Josh Dupraw,Jund,Punishing,Won,2,1,0,Cory Jones,Leylines,
2,Jeremy Edwards,Enchantress,GW,Won,2,0,0,Jon O'Connor,Imperial Painter,RW
2,Scott Ferguson,BUG Delver,,Lost,0,2,0,Jordan Short,ANT,
2,Zac Forshee,ANT,,Lost,0,2,0,Jon Barber,Shardless BUG,
2,Aaron Gaudio,Shardless BUG,,Won,2,0,0,David Dimalanta,12-Post,Bant
2,Jonathan Gingrich,UR Delver,,Won,2,0,0,Isaac Conner,Nic Fit,BUG
2,Ethan Heilicher,Belcher,,Lost,0,2,0,Sam Burdick,ANT,
2,James Helms,4c Loam,,Lost,0,2,0,Greg Mitchell,Miracles,
2,Chris Herold,Imperial Painter,RW,Lost,0,2,0,Rudy Maynard,4c Loam,
2,Stephen Hopkins,Maverick,GWb,Lost,0,2,0,Dylan Jupp,Reanimator,
2,Cory Jones,Leylines,,Lost,1,2,0,Josh Dupraw,Jund,Punishing
2,Dylan Jupp,Reanimator,,Won,2,0,0,Stephen Hopkins,Maverick,GWb
2,Alex Kibner,Infect,,Won,2,1,0,Jon Clancy,UR Delver,
2,Vikram Kudva,Nic Fit,Scapeshift,Won,2,0,0,Jacob Magers,Grixis Delver,
2,Thomas Lancaster,ANT,,Lost,0,2,0,Bruce Williamson,Stiflenought,
2,Jacob Magers,Grixis Delver,,Lost,0,2,0,Vikram Kudva,Nic Fit,Scapeshift
2,Rudy Maynard,4c Loam,,Won,2,0,0,Chris Herold,Imperial Painter,RW
2,Justin Meadows,Eldrazi,,Lost,0,2,0,Thilo Strauss,BUG Delver,
2,Greg Mitchell,Miracles,,Won,2,0,0,James Helms,4c Loam,
2,Jon O'Connor,Imperial Painter,RW,Lost,0,2,0,Jeremy Edwards,Enchantress,GW
2,Jordan Short,ANT,,Won,2,0,0,Scott Ferguson,BUG Delver,
2,Daniel Smith,Miracles,,Won,2,0,0,Randy Yao,Grixis Delver,
2,Peter Smutko,Bant Midrange,,Won,2,0,0,Larry Behnsch,Merfolk,
2,Thilo Strauss,BUG Delver,,Won,2,0,0,Justin Meadows,Eldrazi,
2,Bruce Williamson,Stiflenought,,Won,2,0,0,Thomas Lancaster,ANT,
2,Chris Van Meter,Sneak and Show,,Won,2,1,0,Leo Zoeckler,Mono-Blue Tempo,
2,Randy Yao,Grixis Delver,,Lost,0,2,0,Daniel Smith,Miracles,
2,Leo Zoeckler,Mono-Blue Tempo,,Lost,1,2,0,Chris Van Meter,Sneak and Show,
3,Jon Barber,Shardless BUG,,Won,2,1,0,Sam Burdick,ANT,
3,Larry Behnsch,Merfolk,,Won,2,1,0,Cory Jones,Leylines,
3,Sam Burdick,ANT,,Lost,1,2,0,Jon Barber,Shardless BUG,
3,Daniel Chen,Burn,,Won,2,1,0,James Helms,4c Loam,
3,Jon Clancy,UR Delver,,Won,2,1,0,Leo Zoeckler,Mono-Blue Tempo,
3,Isaac Conner,Nic Fit,BUG,Lost,0,2,0,Thomas Dowd,UR Delver,
3,Anthony Delorenzi,Shardless BUG,,Won,2,1,0,Rudy Maynard,4c Loam,
