Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Tony Bakkala,Burn,,Lost,0,2,0,Brent Traut,Goblins,
1,Jon Barber,ANT,,Won,2,1,0,Brandon Knodel,Miracles,
1,Randy Buehler,ANT,,Won,2,0,0,Chad Warford,ANT,
1,Solomon Burgess,Grixis Pyromancer,,Won,2,0,0,Jordan Renke,ANT,
1,Drake Campell,Grixis Pyromancer,,Won,2,1,0,Brandon Miller,All Spells,
1,Martin Clark,Jund,,Won,2,1,0,James Johnson,RUG Delver,
1,Axel Cobb,Tin Fins,,Lost,1,2,0,Michael Evangelista,Grixis Delver,
1,Peter Cottell,4c Loam,,Won,2,0,0,Michael Jennings,Death and Taxes,
1,Ryan Coverdale,Burn,,Lost,0,2,0,Joseph Dipiano,Infect,
1,Ian Davis,Reanimator,,Won,2,1,0,Aaron Walker,Infect,
1,Sean Deignan,Lands,RUG,Lost,0,2,0,Jesse Hampton,Miracles,
1,Joseph Dipiano,Infect,,Won,2,0,0,Ryan Coverdale,Burn,
1,Jeremy Edwards,Enchantress,,Lost,0,2,0,Patrik Law,Grixis Delver,
1,David Ellis,Omniscience,,Won,2,1,0,Daniel Herrera,Burn,Vise
1,Michael Evangelista,Grixis Delver,,Won,2,1,0,Axel Cobb,Tin Fins,
1,Scott Ferguson,Shardless BUG,,Lost,0,2,0,Zac Ohnemus,Jund,
1,Christopher Fornace,Nic Fit,BUG,Lost,0,2,0,Jonathan Gingrich,Reanimator,
1,Zac Forshee,ANT,,Lost,0,2,0,Quinn Kennedy,Grixis Delver,
1,Max Gardner,Sneak and Show,,Won,2,0,0,Sam Shupe,Deathblade,
1,Aaron Gaudio,Miracles,,Lost,1,2,0,John Nitz,Hypergenesis,
1,Jonathan Gingrich,Reanimator,,Won,2,0,0,Christopher Fornace,Nic Fit,BUG
1,Jesse Hampton,Miracles,,Won,2,0,0,Sean Deignan,Lands,RUG
1,James Helms,4c Loam,,Lost,0,2,0,James Wade,Deathblade,
1,Neil Henly,Deathblade,,Lost,0,2,0,Adam Ruprecht,Miracles,Thopters
1,Daniel Herrera,Burn,Vise,Lost,1,2,0,David Ellis,Omniscience,
1,Rob Hunsaker,Burn,,Won,2,0,0,Jacob Roberts,Miracles,
1,Michael Jennings,Death and Taxes,,Lost,0,2,0,Peter Cottell,4c Loam,
1,James Johnson,RUG Delver,,Lost,1,2,0,Martin Clark,Jund,
1,Dylan Jupp,Reanimator,,Won,2,0,0,Tom Lynch,ANT,
1,Sonja Kasky,Death and Taxes,,Lost,1,2,0,Greg Mitchell,ANT,
1,Quinn Kennedy,Grixis Delver,,Won,2,0,0,Zac Forshee,ANT,
1,Brandon Knodel,Miracles,,Lost,1,2,0,Jon Barber,ANT,
1,Truett Kueck,ANT,,Lost,0,2,0,Adam Prusa,Miracles,
1,Patrik Law,Grixis Delver,,Won,2,0,0,Jeremy Edwards,Enchantress,
1,Tom Lynch,ANT,,Lost,0,2,0,Dylan Jupp,Reanimator,
1,Thomas Martin,Shardless BUG,,Bye,,,,,,
1,Brenden Mcbain,Grixis Delver,,Won,2,0,0,Shawn Yu,ANT,
1,Paige Mendoza,ANT,,Drew,1,1,0,Michael Tessier,Esper Stoneblade,
1,Brandon Miller,All Spells,,Lost,1,2,0,Drake Campell,Grixis Pyromancer,
1,Greg Mitchell,ANT,,Won,2,1,0,Sonja Kasky,Death and Taxes,
1,John Nitz,Hypergenesis,,Won,2,1,0,Aaron Gaudio,Miracles,
1,Michael Nixon,Miracles,,Won,2,0,0,Graeme Stocker,RUG Delver,
1,Zac Ohnemus,Jund,,Won,2,0,0,Scott Ferguson,Shardless BUG,
1,Sam Ortiz,Death and Taxes,,Lost,1,2,0,Charles Wong,Elves,
1,Andrew Park,Sneak and Show,,Won,2,1,0,Mason Trapp,NO BUG,
1,Josh Powell,Grixis Delver,,Won,2,1,0,Aaron Tumy,Goblins,
1,Adam Prusa,Miracles,,Won,2,0,0,Truett Kueck,ANT,
1,Jordan Renke,ANT,,Lost,0,2,0,Solomon Burgess,Grixis Pyromancer,
1,Jacob Roberts,Miracles,,Lost,0,2,0,Rob Hunsaker,Burn,
1,Adam Ruprecht,Miracles,Thopters,Won,2,0,0,Neil Henly,Deathblade,
1,Allion Salvador,Miracles,,Won,2,0,0,Colin Walker,Miracles,
1,Steven Shaw,Infect,,Lost,1,2,0,Victor Tea,Death and Taxes,
1,Sam Shupe,Deathblade,,Lost,0,2,0,Max Gardner,Sneak and Show,
1,Andrew Spence,Painter,,Lost,0,2,0,Seth Stuve,Maverick,
1,Graeme Stocker,RUG Delver,,Lost,0,2,0,Michael Nixon,Miracles,
1,Seth Stuve,Maverick,,Won,2,0,0,Andrew Spence,Painter,
1,Victor Tea,Death and Taxes,,Won,2,1,0,Steven Shaw,Infect,
1,Michael Tessier,Esper Stoneblade,,Drew,1,1,0,Paige Mendoza,ANT,
1,Mason Trapp,NO BUG,,Lost,1,2,0,Andrew Park,Sneak and Show,
1,Brent Traut,Goblins,,Won,2,0,0,Tony Bakkala,Burn,
1,Aaron Tumy,Goblins,,Lost,1,2,0,Josh Powell,Grixis Delver,
1,James Wade,Deathblade,,Won,2,0,0,James Helms,4c Loam,
1,Aaron Walker,Infect,,Lost,1,2,0,Ian Davis,Reanimator,
1,Colin Walker,Miracles,,Lost,0,2,0,Allion Salvador,Miracles,
1,Chad Warford,ANT,,Lost,0,2,0,Randy Buehler,ANT,
1,Charles Wong,Elves,,Won,2,1,0,Sam Ortiz,Death and Taxes,
1,Shawn Yu,ANT,,Lost,0,2,0,Brenden Mcbain,Grixis Delver,
2,Tony Bakkala,Burn,,Lost,1,2,0,Aaron Walker,Infect,
2,Jon Barber,ANT,,Won,2,1,0,Randy Buehler,ANT,
2,Randy Buehler,ANT,,Lost,1,2,0,Jon Barber,ANT,
2,Solomon Burgess,Grixis Pyromancer,,Lost,1,2,0,Jonathan Gingrich,Reanimator,
2,Drake Campell,Grixis Pyromancer,,Won,2,1,0,Ian Davis,Reanimator,
2,Martin Clark,Jund,,Lost,1,2,0,Brent Traut,Goblins,
2,Axel Cobb,Tin Fins,,Won,2,0,0,Sonja Kasky,Death and Taxes,
2,Peter Cottell,4c Loam,,Won,2,1,0,James Wade,Deathblade,
2,Ryan Coverdale,Burn,,Lost,0,2,0,Andrew Spence,Painter,
2,Ian Davis,Reanimator,,Lost,1,2,0,Drake Campell,Grixis Pyromancer,
2,Sean Deignan,Lands,RUG,Won,2,0,0,Steven Shaw,Infect,
2,Joseph Dipiano,Infect,,Lost,1,2,0,Allion Salvador,Miracles,
2,Jeremy Edwards,Enchantress,,Won,2,0,0,Sam Ortiz,Death and Taxes,
2,David Ellis,Omniscience,,Won,2,1,0,Michael Tessier,Esper Stoneblade,
2,Michael Evangelista,Grixis Delver,,Won,2,1,0,Greg Mitchell,ANT,
2,Scott Ferguson,Shardless BUG,,Won,1,0,0,Aaron Tumy,Goblins,
2,Christopher Fornace,Nic Fit,BUG,Won,2,0,0,Colin Walker,Miracles,
2,Zac Forshee,ANT,,Won,2,0,0,Brandon Miller,All Spells,
2,Max Gardner,Sneak and Show,,Won,2,0,0,Quinn Kennedy,Grixis Delver,
2,Aaron Gaudio,Miracles,,Drew,1,1,0,James Helms,4c Loam,
2,Jonathan Gingrich,Reanimator,,Won,2,1,0,Solomon Burgess,Grixis Pyromancer,
2,Jesse Hampton,Miracles,,Won,2,1,0,Andrew Park,Sneak and Show,
2,James Helms,4c Loam,,Drew,1,1,0,Aaron Gaudio,Miracles,
2,Neil Henly,Deathblade,,Won,2,1,0,Paige Mendoza,ANT,
2,Daniel Herrera,Burn,Vise,Lost,1,2,0,Brandon Knodel,Miracles,
