Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Matt Anderson,Painter,Nahiri,Won,2,0,0,Paul Riordan,BR Reanimator,
1,Nathan Band,Miracles,,Lost,1,2,0,Justin Meadows,Eldrazi,Colorless
1,Garth Brewe,Burn,,Won,2,1,0,Jeff Mendoza,Elves,
1,Will Brooks,Reanimator,,Won,2,0,0,Michael Wallio,UR Delver,
1,Randy Buehler,Miracles,,Won,2,0,0,Curran Delahanty,Elves,
1,Solomon Burgess,Grixis Pyromancer,,Lost,1,2,0,Scott Masterson,Death and Taxes,
1,Sean Catanese,Der Netherlands,,Won,2,1,0,Stuart Grinch,Wizards,
1,Joseph Chlebouski,Enchantress,,Lost,1,2,0,Skylar Lucero,Eldrazi,W
1,Elston Cloy,Eldrazi,Colorless,Lost,0,2,0,Thomas Lancaster,Infect,
1,Brandon De Vore,Miracles,,Won,2,1,0,Steven Shaw,MUD,12-Post
1,Curran Delahanty,Elves,,Lost,0,2,0,Randy Buehler,Miracles,
1,Bobby Dygert,Elves,,Won,2,0,0,James Wade,Esper Deathblade,
1,Jeremy Edwards,Infect,,Lost,0,2,0,Matthew Mccullough,Aluren,
1,Percy Fang,BUG Delver,,Won,2,1,0,Karl Spreine,4c Loam,
1,Tyler Gardner,Miracles,,Lost,1,2,0,Daniel Smith,Miracles,
1,Max Goldstein,Esper Stoneblade,,Lost,0,2,0,Greg Mitchell,Omni/Miracles,
1,Stuart Grinch,Wizards,,Lost,1,2,0,Sean Catanese,Der Netherlands,
1,Neil Henly,Esper Deathblade,,Lost,1,2,0,Matthew Staver,4c Loam,
1,Cody Holman,Tin Fins,,Won,2,1,0,Erik Mickel,MUD,12-Post
1,Stephen Hopkins,Maverick,GWb,Drew,1,1,0,Miles Wallio,Elves,
1,Alex Kibner,Elves,,Lost,1,2,0,Timothy Wilder,Shardless BUG,
1,Mike Kiesel,Miracles,,Lost,0,2,0,Shawn Tabrizi,Grixis Delver,
1,Luke Kutrich,Eldrazi,W,Won,2,0,0,Bruce Williamson,Goblins,
1,Thomas Lancaster,Infect,,Won,2,0,0,Elston Cloy,Eldrazi,Colorless
1,Skylar Lucero,Eldrazi,W,Won,2,1,0,Joseph Chlebouski,Enchantress,
1,Scott Masterson,Death and Taxes,,Won,2,1,0,Solomon Burgess,Grixis Pyromancer,
1,Rudy Maynard,4c Loam,,Won,2,1,0,David Webb,Grixis Delver,
1,Matthew Mccullough,Aluren,,Won,2,0,0,Jeremy Edwards,Infect,
1,Justin Meadows,Eldrazi,Colorless,Won,2,1,0,Nathan Band,Miracles,
1,Jeff Mendoza,Elves,,Lost,1,2,0,Garth Brewe,Burn,
1,Erik Mickel,MUD,12-Post,Lost,1,2,0,Cody Holman,Tin Fins,
1,Greg Mitchell,Omni/Miracles,,Won,2,0,0,Max Goldstein,Esper Stoneblade,
1,Josh Monks,Miracles,,Won,2,0,0,Josh Powell,Tezzeret,Grixis
1,Daniel Nguyen,Elves,,Won,2,0,0,Matthew Vogel,Body Shop,
1,Josh Powell,Tezzeret,Grixis,Lost,0,2,0,Josh Monks,Miracles,
1,Paul Riordan,BR Reanimator,,Lost,0,2,0,Matt Anderson,Painter,Nahiri
1,Alex Scott,Deadguy Ale,,Lost,0,2,0,Andy Stowell,Death and Taxes,
1,Steven Shaw,MUD,12-Post,Lost,1,2,0,Brandon De Vore,Miracles,
1,Daniel Smith,Miracles,,Won,2,1,0,Tyler Gardner,Miracles,
