Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,Jeskai Old-School,,Lost,1,2,0,Isaac Espada,Burn,
1,Bryce Bartl-geller,Elves,,Drew,1,1,0,Dan Mortensen,UR TITI,
1,Brian Bennett,Sneak & Show,,Won,2,0,0,Evan Whitfield,Death & Taxes,
1,Garth Brewe,Burn,,Lost,0,2,0,Tristan O'Loughlin,Sneak & Show,
1,Steven Britton,Aluren,,Lost,0,2,0,Dylan Petter,Miracles,
1,Joel Brown,Death & Taxes,,Won,2,1,0,Mack Greene,Prison Breach,
1,Drake Campbell,Tezzerator,,Lost,0,2,0,Andrew Shimko,Aggro Loam,
1,Joseph Christensen,Eldrazi,,Won,2,1,0,Samuel Hriljac,Miracles,
1,Alonso Cisternas,Jund,,Lost,1,2,0,Ed Mancebo,Infect,
1,Jason Crone,Mono W Eldrazi,,Won,2,1,0,Tom Lynch,Bant Solemnity,
1,Aaron Crosett,Sneak & Show,,Lost,0,2,0,Robert Starke,Grixis Delver,
1,Thomas Dowd,Burn,,Won,2,1,0,Matthew Staver,Lands,
1,Mark Sloane Ebbay,Death & Taxes,,Lost,0,2,0,Jeremy Edwards,Burn,
1,Ross Ebbay,Mono W Eldrazi,,Won,2,0,0,Raul Mendoza,Reanimator,RB
1,Jeremy Edwards,Burn,,Won,2,0,0,Mark Sloane Ebbay,Death & Taxes,
1,Isaac Espada,Burn,,Won,2,1,0,Jordan Aisaka,Jeskai Old-School,
1,Milan Fillipi,Sultai Delver,,Won,2,0,0,Justin Hrala,Eldrazi,Post
1,Christopher Fornace,Czech Pile,God,Lost,0,2,0,Yang He,Merfolk,
1,Zac Forshee,Punishing Maverick,,Lost,0,2,0,Jake Mccune,Jund,Rabblemaster
1,Mack Greene,Prison Breach,,Lost,1,2,0,Joel Brown,Death & Taxes,
1,Leighton Haglund,Storm,,Lost,1,2,0,Daniel Smith,Death & Taxes,
1,Yang He,Merfolk,,Won,2,0,0,Christopher Fornace,Czech Pile,God
1,Kai Hicks,Grixis Control,,Won,2,0,0,Bill Li,Burn,
1,Dalton Hike,Sneak & Show,,Lost,1,2,0,David Scott,Burn,
1,Justin Hrala,Eldrazi,Post,Lost,0,2,0,Milan Fillipi,Sultai Delver,
1,Samuel Hriljac,Miracles,,Lost,1,2,0,Joseph Christensen,Eldrazi,
1,Jim Huang,Miracles,,Lost,0,2,0,Jeremy Thrasher,Aggro Loam,
1,James Johnson,Storm,Entomb,Won,2,0,0,Andy Stowell,Turbo Depths,
1,Max Kahn,Mono W Eldrazi,,Lost,0,2,0,Adam Prusa,Miracles,
1,Bill Li,Burn,,Lost,0,2,0,Kai Hicks,Grixis Control,
1,Jeff Lindner,Lands,,Won,2,1,0,Tim Wilder,Czech Pile,
1,Tom Lynch,Bant Solemnity,,Lost,1,2,0,Jason Crone,Mono W Eldrazi,
1,Ed Mancebo,Infect,,Won,2,1,0,Alonso Cisternas,Jund,
1,Russell Martin,Miracles,,Lost,1,2,0,Leo Zoeckler,Aggro Loam,
1,Brenden Mcbain,Lands,,Won,2,1,0,Chad Warford,Turbo Depths,
1,Barbara Mccann,Merfolk,,Lost,1,2,0,Kelvin Wallace,Czech Pile,
1,Jake Mccune,Jund,Rabblemaster,Won,2,0,0,Zac Forshee,Punishing Maverick,
1,Gary Mcneely,Elves,,Lost,0,2,0,Alex Scott,Dead Guy Ale,
1,Raul Mendoza,Reanimator,RB,Lost,0,2,0,Ross Ebbay,Mono W Eldrazi,
1,Greg Mitchell,Czech Pile,,Won,2,1,0,Paul Riordan,Sultai Delver,
1,Josh Monks,Grixis Delver,,Lost,1,2,0,Andrew Reiman,Temur Delver,
1,Dan Mortensen,UR TITI,,Drew,1,1,0,Bryce Bartl-geller,Elves,
1,Tristan O'Loughlin,Sneak & Show,,Won,2,0,0,Garth Brewe,Burn,
1,Dylan Petter,Miracles,,Won,2,0,0,Steven Britton,Aluren,
1,Adam Prusa,Miracles,,Won,2,0,0,Max Kahn,Mono W Eldrazi,
1,Nick Ragazzo,Elves,,Won,2,1,0,Jose Ruiz,Storm,TES
1,Andrew Reiman,Temur Delver,,Won,2,1,0,Josh Monks,Grixis Delver,
1,Paul Riordan,Sultai Delver,,Lost,1,2,0,Greg Mitchell,Czech Pile,
1,Jacob Roberts,Grixis Delver,,Drew,1,1,0,Randy Yao,Elves,
1,Jose Ruiz,Storm,TES,Lost,1,2,0,Nick Ragazzo,Elves,
1,Alex Scott,Dead Guy Ale,,Won,2,0,0,Gary Mcneely,Elves,
1,David Scott,Burn,,Won,2,1,0,Dalton Hike,Sneak & Show,
1,Andrew Shimko,Aggro Loam,,Won,2,0,0,Drake Campbell,Tezzerator,
1,Daniel Smith,Death & Taxes,,Won,2,1,0,Leighton Haglund,Storm,
1,Robert Starke,Grixis Delver,,Won,2,0,0,Aaron Crosett,Sneak & Show,
1,Matthew Staver,Lands,,Lost,1,2,0,Thomas Dowd,Burn,
1,Andy Stowell,Turbo Depths,,Lost,0,2,0,James Johnson,Storm,Entomb
1,Michael Tessier,Red Moon Rising,,Won,2,1,0,Christopher Wessel,Czech Pile,
1,Jeremy Thrasher,Aggro Loam,,Won,2,0,0,Jim Huang,Miracles,
1,Kelvin Wallace,Czech Pile,,Won,2,1,0,Barbara Mccann,Merfolk,
1,Michael Wallio,Burn,,Won,2,0,0,Miles Wallio,Elves,
1,Miles Wallio,Elves,,Lost,0,2,0,Michael Wallio,Burn,
1,Chad Warford,Turbo Depths,,Lost,1,2,0,Brenden Mcbain,Lands,
1,Christopher Wessel,Czech Pile,,Lost,1,2,0,Michael Tessier,Red Moon Rising,
1,Evan Whitfield,Death & Taxes,,Lost,0,2,0,Brian Bennett,Sneak & Show,
1,Tim Wilder,Czech Pile,,Lost,1,2,0,Jeff Lindner,Lands,
1,Randy Yao,Elves,,Drew,1,1,0,Jacob Roberts,Grixis Delver,
1,Leo Zoeckler,Aggro Loam,,Won,2,1,0,Russell Martin,Miracles,
