Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,Stoneblade,Jeskai,Won,2,0,0,Brian Bennett,Sneak & Show,
1,Paul Anderson,Grixis Delver,,Won,2,1,0,Michael Wallio,Ninja Faeries,
1,Aaron Antone,-,,Lost,0,2,0,Barbara Mccann,Merfolk,
1,Brian Bennett,Sneak & Show,,Lost,0,2,0,Jordan Aisaka,Stoneblade,Jeskai
1,Paul Bouchey,Dragon Stompy,,Won,2,0,0,David Dimalanta,MUD,Stax
1,Sam Bouchey,Zombardment,,Lost,0,2,0,Matthew Saxon,UR Delver,
1,Collin Brady,Miracles,,Won,2,1,0,Sheldon Dugas-mcclure,Burn,
1,Garth Brewe,Burn,,Won,2,1,0,Christopher Wessel,Grixis Delver,
1,Steven Britton,Aluren,,Lost,0,2,0,Brenden Mcbain,Lands,
1,Joel Brown,Death & Taxes,,Won,2,0,0,Daniel Martinez,Pox,
1,Joshua Bunnell,Dragon Stompy,,Won,2,1,0,Skyler Weinkauf,Dragon Stompy,
1,Drake Campell,Grixis Control,,Lost,0,2,0,Richard Neal,Czech Pile,
1,Sean Catanese,Nether Vial,,Lost,0,2,0,Randy Yao,Elves,
1,Alonso Cisternas,Jund,Punishing,Won,2,0,0,Vikram Kudva,Nic Fit,Junk
1,Isaac Conner,Jund,,Lost,0,2,0,Neil Henly,Stoneblade,Esper
1,Anthony Dang,Eldrazi,,Won,2,1,0,Wesley Higbee,Czech Pile,
1,David Dimalanta,MUD,Stax,Lost,0,2,0,Paul Bouchey,Dragon Stompy,
1,Sheldon Dugas-mcclure,Burn,,Lost,1,2,0,Collin Brady,Miracles,
1,Jeremy Edwards,Lands,,Won,2,0,0,Isaac Espada,Burn,
1,Isaac Espada,Burn,,Lost,0,2,0,Jeremy Edwards,Lands,
1,Milan Fillipi,Sultai Delver,,Won,2,1,0,Paul Riordan,UR Delver,
1,Christopher Fornace,Nic Fit,Sultai,Lost,1,2,0,Tristan Taylor,Storm,
1,Mack Greene,Eldrazi,,Won,2,1,0,Matt Sokolowsky,Miracles,Nahiri
1,Jarrod Hamerly,Grixis Delver,,Won,2,0,0,Daniel Nguyen,Elves,
1,Yang He,Merfolk,,Won,2,0,0,Jim Huang,Miracles,
1,Neil Henly,Stoneblade,Esper,Won,2,0,0,Isaac Conner,Jund,
1,Wesley Higbee,Czech Pile,,Lost,1,2,0,Anthony Dang,Eldrazi,
1,Justin Hrala,Eldrazi Post,,Lost,1,2,0,John Vinella,Humans,
1,Jim Huang,Miracles,,Lost,0,2,0,Yang He,Merfolk,
1,Mike Kiesel,Affinity,,Lost,1,2,0,Tim Wilder,Czech Pile,
1,Vikram Kudva,Nic Fit,Junk,Lost,0,2,0,Alonso Cisternas,Jund,Punishing
1,Kevin Lavery,Grixis Delver,,Lost,0,2,0,Greg Mitchell,Storm,
1,Bill Li,Death & Taxes,,Lost,0,2,0,Lee Hung Nguyen,Eldrazi Post,
1,Philip Luecke,Tezzerator,,Won,2,0,0,Tyler Marklyn,"Oops, All Spells",
1,Tom Lynch,Sneak & Show,,Won,2,0,0,Zac Ohnemus,Grixis Delver,
1,Tyler Marklyn,"Oops, All Spells",,Lost,0,2,0,Philip Luecke,Tezzerator,
1,Daniel Martinez,Pox,,Lost,0,2,0,Joel Brown,Death & Taxes,
1,Brenden Mcbain,Lands,,Won,2,0,0,Steven Britton,Aluren,
1,Barbara Mccann,Merfolk,,Won,2,0,0,Aaron Antone,-,
1,Gary Mcneely,Sultai Delver,,Won,2,0,0,David Scott,Esper Control,
1,Greg Mitchell,Storm,,Won,2,0,0,Kevin Lavery,Grixis Delver,
1,Richard Neal,Czech Pile,,Won,2,0,0,Drake Campell,Grixis Control,
1,Daniel Nguyen,Elves,,Lost,0,2,0,Jarrod Hamerly,Grixis Delver,
1,Lee Hung Nguyen,Eldrazi Post,,Won,2,0,0,Bill Li,Death & Taxes,
1,Michael Nixon,Czech Pile,,Won,2,1,0,Nick Ragazzo,Elves,
1,Zac Ohnemus,Grixis Delver,,Lost,0,2,0,Tom Lynch,Sneak & Show,
1,Dylan Petter,Miracles,,Won,2,0,0,Jeremy Thrasher,Aggro Loam,
1,Adam Prusa,Miracles,,Won,2,1,0,Kris Williams,Sneak & Show,
