Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,UWR Stoneblade,,Won,2,0,0,Nathan Lickteig,Stiflenought,
1,Michael Beck,Death and Taxes,,Won,2,0,0,Aren Kasner,Merfolk,
1,Brian Bennett,Aluren,,Won,2,0,0,Ben Broadstone,Grixis Delver,
1,Garth Brewe,Burn,,Lost,0,2,0,Russell Martin,BR Reanimator,
1,Daniel Brittain,Grixis Delver,,Lost,0,2,0,Brad Rutherford,Sneak and Show,
1,Ben Broadstone,Grixis Delver,,Lost,0,2,0,Brian Bennett,Aluren,
1,Will Brooks,Belcher,,Won,2,0,0,Timothy Li,Death and Taxes,
1,Sam Burdick,ANT,,Lost,1,2,0,Zac Ohnemus,Sneak and Show,
1,Sean Catanese,Der Netherlands,,Lost,0,2,0,Peter Cottell,Bant,Stoneblade
1,Peter Cottell,Bant,Stoneblade,Won,2,0,0,Sean Catanese,Der Netherlands,
1,Ryan Coverdale,MUD,12-Post,Lost,1,2,0,Leo Zoeckler,Goblins,
1,Aaron Crosett,ANT,,Lost,0,2,0,Ethan Lightfoot,Aluren,
1,Jeremy Edwards,Infect,,Won,2,1,0,Adam Prusa,RG Lands,Jund
1,James Farnsworth-garel,Rogue,Land Hate,Lost,0,2,0,Stacy Munson,Shardless BUG,
1,Tj Flowers,Shardless BUG,,Won,2,1,0,Daniel Goh,Death and Taxes,
1,Brad Foster,Death and Taxes,,Won,2,1,0,Solomon Ossa,4c Delver,
1,Daniel Goh,Death and Taxes,,Lost,1,2,0,Tj Flowers,Shardless BUG,
1,Martin Goldman-kirst,Aluren,,Lost,0,2,0,James Wade,Esper Deathblade,
1,Robin Hartshorn,Shardless BUG,,Won,2,0,0,Shawn Tabrizi,Grixis Delver,
1,James Helms,4c Loam,,Drew,1,1,1,Sasha Herda,Zombardment,
1,Sasha Herda,Zombardment,,Drew,1,1,1,James Helms,4c Loam,
1,George Hormel,Death and Taxes,,Lost,1,2,0,Josh Monks,Death and Taxes,
1,Samuel Hriljac,Miracles,Esper,Lost,1,2,0,Richard Neal,Bant,Stoneblade
1,Conor Jacob,Miracles,,Won,2,1,0,Peter Smutko,Tezzeret,UW
1,James Johnson,RUG Delver,,Lost,1,2,0,Jacob Roberts,Death and Taxes,
1,Aren Kasner,Merfolk,,Lost,0,2,0,Michael Beck,Death and Taxes,
1,Thomas Lancaster,Infect,,Won,2,0,0,Josh Powell,Tezzeret,Grixis
1,Timothy Li,Death and Taxes,,Lost,0,2,0,Will Brooks,Belcher,
1,Nathan Lickteig,Stiflenought,,Lost,0,2,0,Jordan Aisaka,UWR Stoneblade,
1,Ethan Lightfoot,Aluren,,Won,2,0,0,Aaron Crosett,ANT,
1,Russell Martin,BR Reanimator,,Won,2,0,0,Garth Brewe,Burn,
1,Rudy Maynard,4c Loam,,Won,2,1,0,Daniel Nguyen,Elves,
1,Erik Mickel,MUD,12-Post,Won,2,0,0,Justin Rolfe-maloney,Miracles,
1,Greg Mitchell,Miracles,,Lost,1,2,0,Shawn Yu,Miracles,
1,Josh Monks,Death and Taxes,,Won,2,1,0,George Hormel,Death and Taxes,
1,Stacy Munson,Shardless BUG,,Won,2,0,0,James Farnsworth-garel,Rogue,Land Hate
1,Richard Neal,Bant,Stoneblade,Won,2,1,0,Samuel Hriljac,Miracles,Esper
1,Daniel Nguyen,Elves,,Lost,1,2,0,Rudy Maynard,4c Loam,
1,Zac Ohnemus,Sneak and Show,,Won,2,1,0,Sam Burdick,ANT,
1,Solomon Ossa,4c Delver,,Lost,1,2,0,Brad Foster,Death and Taxes,
1,Stephen Peters,Miracles,,Lost,1,2,0,Jordan Short,Esper Deathblade,
1,Josh Powell,Tezzeret,Grixis,Lost,0,2,0,Thomas Lancaster,Infect,
1,Adam Prusa,RG Lands,Jund,Lost,1,2,0,Jeremy Edwards,Infect,
1,Benjamin Ricahrds,4c Loam,,Lost,0,2,0,Tim Wilder,Shardless BUG,
1,Jacob Roberts,Death and Taxes,,Won,2,1,0,James Johnson,RUG Delver,
1,Justin Rolfe-maloney,Miracles,,Lost,0,2,0,Erik Mickel,MUD,12-Post
1,Brad Rutherford,Sneak and Show,,Won,2,0,0,Daniel Brittain,Grixis Delver,
1,Alex Scott,Deadguy Ale,,Bye,,,,,,
1,Jordan Short,Esper Deathblade,,Won,2,1,0,Stephen Peters,Miracles,
1,Peter Smutko,Tezzeret,UW,Lost,1,2,0,Conor Jacob,Miracles,
1,Shawn Tabrizi,Grixis Delver,,Lost,0,2,0,Robin Hartshorn,Shardless BUG,
1,James Wade,Esper Deathblade,,Won,2,0,0,Martin Goldman-kirst,Aluren,
1,Michael Wallio,Burn,,Lost,1,2,0,Miles Wallio,Elves,
1,Miles Wallio,Elves,,Won,2,1,0,Michael Wallio,Burn,
1,Tim Wilder,Shardless BUG,,Won,2,0,0,Benjamin Ricahrds,4c Loam,
1,Shawn Yu,Miracles,,Won,2,1,0,Greg Mitchell,Miracles,
1,Leo Zoeckler,Goblins,,Won,2,1,0,Ryan Coverdale,MUD,12-Post
2,Jordan Aisaka,UWR Stoneblade,,Lost,0,2,0,Brian Bennett,Aluren,
2,Michael Beck,Death and Taxes,,Won,2,0,0,Rudy Maynard,4c Loam,
2,Brian Bennett,Aluren,,Won,2,0,0,Jordan Aisaka,UWR Stoneblade,
2,Garth Brewe,Burn,,Won,2,1,0,Stephen Peters,Miracles,
2,Daniel Brittain,Grixis Delver,,Lost,0,2,0,Adam Prusa,RG Lands,Jund
2,Ben Broadstone,Grixis Delver,,Won,2,0,0,Justin Rolfe-maloney,Miracles,
2,Will Brooks,Belcher,,Lost,0,2,0,Peter Cottell,Bant,Stoneblade
2,Sam Burdick,ANT,,Lost,0,2,0,Aren Kasner,Merfolk,
2,Sean Catanese,Der Netherlands,,Won,2,0,0,James Farnsworth-garel,Rogue,Land Hate
2,Peter Cottell,Bant,Stoneblade,Won,2,0,0,Will Brooks,Belcher,
2,Ryan Coverdale,MUD,12-Post,Won,2,0,0,Greg Mitchell,Miracles,
2,Aaron Crosett,ANT,,Lost,1,2,0,Benjamin Ricahrds,4c Loam,
2,Jeremy Edwards,Infect,,Lost,0,2,0,Erik Mickel,MUD,12-Post
2,James Farnsworth-garel,Rogue,Land Hate,Lost,0,2,0,Sean Catanese,Der Netherlands,
2,Tj Flowers,Shardless BUG,,Lost,1,2,0,James Wade,Esper Deathblade,
2,Brad Foster,Death and Taxes,,Lost,1,2,0,Alex Scott,Deadguy Ale,
2,Daniel Goh,Death and Taxes,,Bye,,,,,,
2,Martin Goldman-kirst,Aluren,,Won,2,1,0,James Johnson,RUG Delver,
2,Robin Hartshorn,Shardless BUG,,Won,2,0,0,Brad Rutherford,Sneak and Show,
2,James Helms,4c Loam,,Lost,1,2,0,Timothy Li,Death and Taxes,
2,Sasha Herda,Zombardment,,Lost,1,2,0,Peter Smutko,Tezzeret,UW
2,George Hormel,Death and Taxes,,Lost,0,2,0,Michael Wallio,Burn,
2,Samuel Hriljac,Miracles,Esper,Lost,0,2,0,Daniel Nguyen,Elves,
2,Conor Jacob,Miracles,,Won,2,0,0,Miles Wallio,Elves,
2,James Johnson,RUG Delver,,Lost,1,2,0,Martin Goldman-kirst,Aluren,
2,Aren Kasner,Merfolk,,Won,2,0,0,Sam Burdick,ANT,
2,Thomas Lancaster,Infect,,Lost,1,2,0,Zac Ohnemus,Sneak and Show,
2,Timothy Li,Death and Taxes,,Won,2,1,0,James Helms,4c Loam,
2,Nathan Lickteig,Stiflenought,,Won,2,1,0,Solomon Ossa,4c Delver,
2,Ethan Lightfoot,Aluren,,Won,2,1,0,Josh Monks,Death and Taxes,
2,Russell Martin,BR Reanimator,,Won,2,0,0,Leo Zoeckler,Goblins,
2,Rudy Maynard,4c Loam,,Lost,0,2,0,Michael Beck,Death and Taxes,
2,Erik Mickel,MUD,12-Post,Won,2,0,0,Jeremy Edwards,Infect,
2,Greg Mitchell,Miracles,,Lost,0,2,0,Ryan Coverdale,MUD,12-Post
2,Josh Monks,Death and Taxes,,Lost,1,2,0,Ethan Lightfoot,Aluren,
