Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Brian Bennett,Omni-Sneak,,Won,2,1,0,Jeff Kinsey,Death and Taxes,
1,Patrick Casey,Imperial Painter,RW,Lost,1,2,0,Brenden Mcbain,Food Chain,
1,Joseph Christensen,Death and Taxes,,Won,2,1,0,Michael Reimers,Bomberman,
1,Peter Cottell,Turbo Depths,BUG,Lost,0,2,0,Jeremy Edwards,Moon Stompy,
1,Jeremy Edwards,Moon Stompy,,Won,2,0,0,Peter Cottell,Turbo Depths,BUG
1,Isaac Espada,Burn,,Won,2,0,0,Paul Riordan,BUG Delver,
1,Dylan Falk,BUG Delver,,Lost,1,2,0,Samuel Hriljac,RIP Control,
1,Christopher Fornace,Nic Fit,4c,Lost,0,1,0,Milo Gerhard,Maverick,GWb
1,Milo Gerhard,Maverick,GWb,Won,1,0,0,Christopher Fornace,Nic Fit,4c
1,Mack Greene,BR Reanimator,,Lost,1,2,0,Andy Stowell,Blue Moon,
1,Jarrod Hamerly,Grixis Delver,,Lost,0,2,0,Miles Wallio,Elves,
1,Adam Handermann,Elves,,Lost,1,2,0,Chad Warford,Turbo Depths,BG
1,Ian Hathaway,Moon Stompy,,Lost,1,2,0,Sean O'Conor,Miracles,
1,Chris Herold,Food Chain,,Lost,1,2,0,Ken Masumoto,Elves,
1,Stephen Hightower,Enchantress,GW,Won,2,1,0,Bruce Williamson,Goblins,
1,Stephen Hopkins,Maverick,GWb,Drew,1,1,0,Bill Li,UR Delver,
1,Justin Hrala,Eldrazi,,Won,2,0,0,Russell Martin,Eldrazi,
1,Samuel Hriljac,RIP Control,,Won,2,1,0,Dylan Falk,BUG Delver,
1,Hayden Ilcewicz,BR Reanimator,,Won,2,0,0,Kelvin Wallace,Grixis Delver,
1,James Johnson,ANT,Entomb,Lost,1,2,0,Michael Wallio,Burn,
1,Mike Kiesel,RG Lands,RUG,Lost,0,2,0,David Pierce,High Tide,
1,Jeff Kinsey,Death and Taxes,,Lost,1,2,0,Brian Bennett,Omni-Sneak,
1,Luke Kutrich,Eldrazi,,Lost,1,2,0,Aaron Writtenberry,BR Reanimator,
1,Bill Li,UR Delver,,Drew,1,1,0,Stephen Hopkins,Maverick,GWb
1,Tom Lynch,Dredge,,Match Loss,,,,,,
1,Russell Martin,Eldrazi,,Lost,0,2,0,Justin Hrala,Eldrazi,
1,Daniel Martinez,Big Red,,Bye,,,,,,
1,Ken Masumoto,Elves,,Won,2,1,0,Chris Herold,Food Chain,
1,Brenden Mcbain,Food Chain,,Won,2,1,0,Patrick Casey,Imperial Painter,RW
1,Erik Mickel,MUD,,Lost,1,2,0,Greg Mitchell,12-Post,UG
1,Greg Mitchell,12-Post,UG,Won,2,1,0,Erik Mickel,MUD,
1,Josh Monks,Death and Taxes,,Lost,1,2,0,Timothy Wilder,Bant Deathblade,
1,Nathan Moore,Imperial Painter,RW,Won,2,1,0,Robert Starke,BR Reanimator,
