Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,UWR Stoneblade,,Lost,1,2,0,Lauren Mulligan,RG Lands,Dark
1,Tony Bakkala,Burn,,Lost,1,2,0,David Scott,Miracles,
1,Brian Bennett,Aluren,,Drew,1,1,0,Axel Cobb,Aluren,W
1,Phillip Bolender,Miracles,,Lost,0,2,0,Tyler Marklyn,Pox,
1,Garth Brewe,Burn,,Lost,0,2,0,Andy Stowell,BR Reanimator,
1,Sean Catanese,Der Netherlands,,Lost,0,2,0,Jeff Kinsey,Death and Taxes,
1,Michael Chonka,Manaless Dredge,,Lost,0,2,0,Rudy Maynard,4c Loam,
1,Martin Clark,Death and Taxes,,Lost,0,2,0,Russell Martin,Eldrazi,
1,Elston Cloy,Eldrazi,,Won,2,0,0,Bryce Deitt,Sneak and Show,
1,Axel Cobb,Aluren,W,Drew,1,1,0,Brian Bennett,Aluren,
1,Peter Cottell,4c Loam,,Lost,0,2,0,Karl Spreine,Reanimator,
1,Ryan Coverdale,Reanimator,,Lost,0,2,0,Thomas Snider,Esper Deathblade,
1,Aaron Crosett,Miracles,,Lost,0,2,0,Jacob Roberts,Bant Deathblade,
1,Lydia Deese,Goblin Stompy,,Won,2,0,0,Erik Yang,Tezzeret,
1,Bryce Deitt,Sneak and Show,,Lost,0,2,0,Elston Cloy,Eldrazi,
1,Jeremy Edwards,Eldrazi,,Won,2,1,0,Alex Ford,Manaless Dredge,
1,Percy Fang,BUG Delver,,Won,2,1,0,Chase Lingelbach,Esper Deathblade,
1,Alex Ford,Manaless Dredge,,Lost,1,2,0,Jeremy Edwards,Eldrazi,
1,Christopher Fornace,Death's Shadow,4c,Lost,0,2,0,Martin Goldman-kirst,Aluren,
1,Max Gardner,Sneak and Show,Omni,Bye,,,,,,
1,Martin Goldman-kirst,Aluren,,Won,2,0,0,Christopher Fornace,Death's Shadow,4c
1,Scott Griffen,Shardless BUG,,Won,2,0,0,Kris Williams,Aluren,W
1,Jarrod Hamerly,Infect,,Won,2,0,0,Leo Zoeckler,Death's Shadow,BUG
1,Ken Hamlett,Food Chain,,Won,2,1,0,Miles Wallio,Tin Fins,
1,Ian Hathaway,Imperial Painter,,Won,2,0,0,James Palmer,Miracles,
1,James Helms,4c Loam,,Lost,0,2,0,Joe Muoio,Parfait,
1,Samuel Hriljac,Miracles,,Won,2,1,0,Generie Marc Peco,RG Lands,
1,Jeff Kinsey,Death and Taxes,,Won,2,0,0,Sean Catanese,Der Netherlands,
1,Joel Korkowski,Maverick,,Lost,0,2,0,Zac Ohnemus,Grixis Delver,
1,Jesse Kunz,Sneak and Show,Omni,Lost,1,2,0,Skylar Ross,Dredge,
1,Chase Lingelbach,Esper Deathblade,,Lost,1,2,0,Percy Fang,BUG Delver,
1,Tyler Marklyn,Pox,,Won,2,0,0,Phillip Bolender,Miracles,
1,Russell Martin,Eldrazi,,Won,2,0,0,Martin Clark,Death and Taxes,
1,Daniel Martinez,RG Lands,,Lost,0,2,0,Brenden Mcbain,Imperial Painter,RW
1,Scott Masterson,Infect,,Lost,1,2,0,Brad Rutherford,Burn,
1,Rudy Maynard,4c Loam,,Won,2,0,0,Michael Chonka,Manaless Dredge,
1,Brenden Mcbain,Imperial Painter,RW,Won,2,0,0,Daniel Martinez,RG Lands,
1,Jakob Moberg,Burn,,Lost,0,2,0,Dan Mortensen,Nic Fit,Scapeshift
1,Dan Mortensen,Nic Fit,Scapeshift,Won,2,0,0,Jakob Moberg,Burn,
1,Lauren Mulligan,RG Lands,Dark,Won,2,1,0,Jordan Aisaka,UWR Stoneblade,
1,Joe Muoio,Parfait,,Won,2,0,0,James Helms,4c Loam,
1,Zac Ohnemus,Grixis Delver,,Won,2,0,0,Joel Korkowski,Maverick,
1,James Palmer,Miracles,,Lost,0,2,0,Ian Hathaway,Imperial Painter,
1,Generie Marc Peco,RG Lands,,Lost,1,2,0,Samuel Hriljac,Miracles,
1,Nikita Petrov,Elves,,Won,2,1,0,Paul Riordan,BR Reanimator,
1,Dylan Petter,Miracles,,Won,2,0,0,Alex Scott,Deadguy Ale,
1,Paul Riordan,BR Reanimator,,Lost,1,2,0,Nikita Petrov,Elves,
