Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,UWR Stoneblade,,Won,2,0,0,Isaac Conner,Burn,Rb
1,Greg Banek,Werewolf Stompy,,Lost,1,2,0,Wesley Higbee,Shardless BUG,
1,Michael Beck,Death and Taxes,,Won,2,1,0,Michael Maduell,Eldrazi,Tron
1,Solomon Burgess,Grixis Pyromancer,,Won,2,0,0,Dan Mortensen,Nic Fit,Scapeshift
1,Isaac Conner,Burn,Rb,Lost,0,2,0,Jordan Aisaka,UWR Stoneblade,
1,Christopher Cornejo,UB Tempo,,Lost,1,2,0,Ethan Lightfoot,Aluren,
1,Peter Cottell,4c Loam,,Lost,0,2,0,Chris Leclercq,Lands,RG
1,David Dimalanta,12-Post,Bant,Won,1,0,0,Adam Prusa,Miracles,
1,Jeremy Edwards,Enchantress,,Won,2,0,0,Timothy Wilder,Shardless BUG,
1,Tj Flowers,Painter,UR,Won,2,0,0,Miles Wallio,Goblins,
1,Christopher Fornace,Nic Fit,BUG,Won,2,0,0,James Johnson,RUG Delver,
1,Hector Galindo,Miracles,,Lost,0,2,0,Frank Stanley,Aluren,
1,Robert Goff,Dredge,,Won,2,1,0,Tyler Marklyn,Death and Taxes,
1,Scott Griffen,Shardless BUG,,Won,2,1,0,George Hormel,Infect,
1,Mike Harrison,Reanimator,,Lost,0,2,0,Jeff Lindner,Lands,RG
1,Sasha Herda,Zombardment,,Won,2,1,0,Riley Klinger,Brave Sir Robin,
1,Wesley Higbee,Shardless BUG,,Won,2,1,0,Greg Banek,Werewolf Stompy,
1,George Hormel,Infect,,Lost,1,2,0,Scott Griffen,Shardless BUG,
1,James Johnson,RUG Delver,,Lost,0,2,0,Christopher Fornace,Nic Fit,BUG
1,Jeff Kinsey,Death and Taxes,,Drew,1,1,0,Michael Wallio,Burn,
1,Riley Klinger,Brave Sir Robin,,Lost,1,2,0,Sasha Herda,Zombardment,
1,Thomas Lancaster,Infect,,Won,2,0,0,Liam Tyrrell,Grixis Delver,
1,Chris Leclercq,Lands,RG,Won,2,0,0,Peter Cottell,4c Loam,
1,Bill Li,Death and Taxes,,Lost,0,2,0,Noah Marcus,Dredge,Manaless
1,Timothy Li,Death and Taxes,,Won,2,1,0,Andy Stowell,Sneak and Show,
1,Nathan Lickteig,Stiflenought,BUG,Lost,1,2,0,Shawn Yu,Miracles,
1,Ethan Lightfoot,Aluren,,Won,2,1,0,Christopher Cornejo,UB Tempo,
1,Jeff Lindner,Lands,RG,Won,2,0,0,Mike Harrison,Reanimator,
1,Michael Maduell,Eldrazi,Tron,Lost,1,2,0,Michael Beck,Death and Taxes,
1,Ed Mancebo,Infect,,Lost,0,2,0,David Wang,Grixis Delver,
1,Noah Marcus,Dredge,Manaless,Won,2,0,0,Bill Li,Death and Taxes,
1,Tyler Marklyn,Death and Taxes,,Lost,1,2,0,Robert Goff,Dredge,
1,Rudy Maynard,4c Loam,,Won,2,1,0,Thilo Strauss,BUG Delver,
1,Erik Mickel,MUD,12-Post,Lost,1,2,0,Michael Swailes,Miracles,
1,Dan Mortensen,Nic Fit,Scapeshift,Lost,0,2,0,Solomon Burgess,Grixis Pyromancer,
1,Daniel Nguyen,Eldrazi,,Lost,0,2,0,Peter Smutko,Tezzeret,UW
1,Adam Prusa,Miracles,,Lost,0,1,0,David Dimalanta,12-Post,Bant
1,Peter Smutko,Tezzeret,UW,Won,2,0,0,Daniel Nguyen,Eldrazi,
1,Frank Stanley,Aluren,,Won,2,0,0,Hector Galindo,Miracles,
1,Andy Stowell,Sneak and Show,,Lost,1,2,0,Timothy Li,Death and Taxes,
1,Thilo Strauss,BUG Delver,,Lost,1,2,0,Rudy Maynard,4c Loam,
1,Michael Swailes,Miracles,,Won,2,1,0,Erik Mickel,MUD,12-Post
1,Patrick Tierney,Miracles,,Won,2,1,0,Ben Williams,Grixis Delver,
1,Liam Tyrrell,Grixis Delver,,Lost,0,2,0,Thomas Lancaster,Infect,
1,Michael Wallio,Burn,,Drew,1,1,0,Jeff Kinsey,Death and Taxes,
1,Miles Wallio,Goblins,,Lost,0,2,0,Tj Flowers,Painter,UR
1,David Wang,Grixis Delver,,Won,2,0,0,Ed Mancebo,Infect,
1,Timothy Wilder,Shardless BUG,,Lost,0,2,0,Jeremy Edwards,Enchantress,
1,Ben Williams,Grixis Delver,,Lost,1,2,0,Patrick Tierney,Miracles,
1,Shawn Yu,Miracles,,Won,2,1,0,Nathan Lickteig,Stiflenought,BUG
2,Jordan Aisaka,UWR Stoneblade,,Won,2,1,0,David Wang,Grixis Delver,
2,Greg Banek,Werewolf Stompy,,Won,2,1,0,Hector Galindo,Miracles,
2,Michael Beck,Death and Taxes,,Won,2,1,0,Timothy Li,Death and Taxes,
2,Solomon Burgess,Grixis Pyromancer,,Won,2,1,0,Jeff Lindner,Lands,RG
2,Isaac Conner,Burn,Rb,Lost,0,2,0,Adam Prusa,Miracles,
2,Christopher Cornejo,UB Tempo,,Lost,1,2,0,Michael Wallio,Burn,
2,Peter Cottell,4c Loam,,Lost,0,2,0,Timothy Wilder,Shardless BUG,
2,David Dimalanta,12-Post,Bant,Won,2,0,0,Christopher Fornace,Nic Fit,BUG
2,Jeremy Edwards,Enchantress,,Lost,0,2,0,Thomas Lancaster,Infect,
2,Tj Flowers,Painter,UR,Won,2,0,0,Sasha Herda,Zombardment,
2,Christopher Fornace,Nic Fit,BUG,Lost,0,2,0,David Dimalanta,12-Post,Bant
