Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jordan Aisaka,UWR Stoneblade,,Won,2,1,0,Alex Ford,Manaless Dredge,
1,Brian Bennett,Aluren,R,Won,2,1,0,Tyler Marklyn,Tezzeret,Grixis
1,Garth Brewe,Burn,,Won,2,0,0,Josh Monks,Jund,Punishing
1,Sean Catanese,NetherLands,,Won,2,0,0,Vikram Kudva,Red Stompy,
1,Elston Cloy,BR Reanimator,,Lost,0,2,0,Timothy Wilder,Miracles,
1,Christopher Cornejo,Grixis Control,,Lost,0,2,0,Joey Klonowski,Miracles,
1,Thomas Cornett,Aluren,R,Won,2,0,0,Thomas Lynch,High Tide,
1,Peter Cottell,4c Loam,,Lost,1,2,0,Shawn Yu,Miracles,
1,Ryan Coverdale,Grixis Delver,,Lost,1,2,0,David Scott,RG Lands,
1,Aaron Crosett,Miracles,,Drew,1,1,0,Conor Jacob,Jund,Punishing
1,Wes Dawson,Food Chain,,Lost,1,2,0,Zac Forshee,ANT,
1,Jeremy Edwards,Eldrazi,12-Post,Won,2,0,0,Mike Kiesel,Aluren,BUG
1,Alex Ford,Manaless Dredge,,Lost,1,2,0,Jordan Aisaka,UWR Stoneblade,
1,Christopher Fornace,Nic Fit,BUG,Won,2,0,0,Erik Mickel,MUD,
1,Zac Forshee,ANT,,Won,2,1,0,Wes Dawson,Food Chain,
1,Josh Gjerness,ANT,,Won,2,1,0,Jeff Lindner,RG Lands,
1,Ken Hamlett,Food Chain,,Won,2,0,0,Jesse Kunz,Sneak and Show,
1,Samuel Hriljac,Miracles,,Drew,1,1,0,Eric Keiser,Nic Fit,Sneak
1,Conor Jacob,Jund,Punishing,Drew,1,1,0,Aaron Crosett,Miracles,
1,Eric Keiser,Nic Fit,Sneak,Drew,1,1,0,Samuel Hriljac,Miracles,
1,Mike Kiesel,Aluren,BUG,Lost,0,2,0,Jeremy Edwards,Eldrazi,12-Post
1,Joey Klonowski,Miracles,,Won,2,0,0,Christopher Cornejo,Grixis Control,
1,Vikram Kudva,Red Stompy,,Lost,0,2,0,Sean Catanese,NetherLands,
1,Jesse Kunz,Sneak and Show,,Lost,0,2,0,Ken Hamlett,Food Chain,
1,Thomas Lancaster,Infect,,Won,2,0,0,Russell Martin,BR Reanimator,
1,Chris Leclercq,Lands,RUG,Lost,0,2,0,Greg Mitchell,Omni/Miracles,
1,Bill Li,Death and Taxes,,Won,2,0,0,Nathan Lickteig,Stiflenought,BUG
1,Nathan Lickteig,Stiflenought,BUG,Lost,0,2,0,Bill Li,Death and Taxes,
1,Jeff Lindner,RG Lands,,Lost,1,2,0,Josh Gjerness,ANT,
1,Thomas Lynch,High Tide,,Lost,0,2,0,Thomas Cornett,Aluren,R
1,Tyler Marklyn,Tezzeret,Grixis,Lost,1,2,0,Brian Bennett,Aluren,R
1,Russell Martin,BR Reanimator,,Lost,0,2,0,Thomas Lancaster,Infect,
1,Ryan Mathisen,BR Reanimator,,Won,2,1,0,Shawn Tabrizi,Grixis Delver,
1,Jake Mccune,Death and Taxes,,Lost,0,2,0,Patrick Tierney,Death and Taxes,
1,Erik Mickel,MUD,,Lost,0,2,0,Christopher Fornace,Nic Fit,BUG
1,Greg Mitchell,Omni/Miracles,,Won,2,0,0,Chris Leclercq,Lands,RUG
1,Josh Monks,Jund,Punishing,Lost,0,2,0,Garth Brewe,Burn,
1,Brad Rutherford,Burn,,Bye,,,,,,
1,Alex Scott,Deadguy Ale,,Lost,0,2,0,James Wade,Esper Deathblade,
1,David Scott,RG Lands,,Won,2,1,0,Ryan Coverdale,Grixis Delver,
1,Shawn Tabrizi,Grixis Delver,,Lost,1,2,0,Ryan Mathisen,BR Reanimator,
1,Patrick Tierney,Death and Taxes,,Won,2,0,0,Jake Mccune,Death and Taxes,
1,James Wade,Esper Deathblade,,Won,2,0,0,Alex Scott,Deadguy Ale,
1,Timothy Wilder,Miracles,,Won,2,0,0,Elston Cloy,BR Reanimator,
1,Shawn Yu,Miracles,,Won,2,1,0,Peter Cottell,4c Loam,
2,Jordan Aisaka,UWR Stoneblade,,Won,2,0,0,Sean Catanese,NetherLands,
2,Brian Bennett,Aluren,R,Lost,0,2,0,Thomas Lancaster,Infect,
2,Garth Brewe,Burn,,Lost,1,2,0,Christopher Fornace,Nic Fit,BUG
2,Sean Catanese,NetherLands,,Lost,0,2,0,Jordan Aisaka,UWR Stoneblade,
2,Elston Cloy,BR Reanimator,,Won,2,0,0,Russell Martin,BR Reanimator,
2,Christopher Cornejo,Grixis Control,,Lost,0,2,0,Mike Kiesel,Aluren,BUG
2,Thomas Cornett,Aluren,R,Lost,1,2,0,David Scott,RG Lands,
2,Peter Cottell,4c Loam,,Lost,1,2,0,Tyler Marklyn,Tezzeret,Grixis
2,Ryan Coverdale,Grixis Delver,,Won,2,0,0,Wes Dawson,Food Chain,
2,Aaron Crosett,Miracles,,Won,2,0,0,Chris Leclercq,Lands,RUG
2,Wes Dawson,Food Chain,,Lost,0,2,0,Ryan Coverdale,Grixis Delver,
2,Jeremy Edwards,Eldrazi,12-Post,Drew,1,1,0,Timothy Wilder,Miracles,
