Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Justin Aanenson,,,Lost,0,2,0,Jake Benson,Grixis Delver,
1,Jordan Aisaka,UWR Stoneblade,,Won,2,1,0,Joe Ricci,Affinity,
1,Daniel Baker,Food Chain,,Lost,1,2,0,Chris Wallace,Eldrazi,
1,James Bannan,ANT,,Lost,1,2,0,Andy Stowell,BUG Delver,
1,Joe Barry,Grixis Delver,,Lost,0,2,0,Luke Mcgrath,Grixis Delver,
1,Jake Benson,Grixis Delver,,Won,2,0,0,Justin Aanenson,,
1,Omer Boudrissa,4c Loam,,Won,2,1,0,Erik Mickel,Maverick,
1,Solomon Burgess,BUG Delver,,Won,2,0,0,Ian Davis,Reanimator,
1,Peter Cottell,4c Loam,,Won,2,0,0,David Scott,BUG Delver,
1,Ian Davis,Reanimator,,Lost,0,2,0,Solomon Burgess,BUG Delver,
1,Lydia Deese,Splinter Twin,,Lost,0,2,0,Frank Lepore,Eldrazi,
1,Joseph Dipiano,Infect,,Match Loss,,,,,,
1,Marcel Dizon,Grixis Delver,,Lost,1,2,0,Jereme Singson,Sneak and Show,
1,Jon Dubois,Slivers,,Won,2,0,0,Jake Mccune,Death and Taxes,
1,Jeremy Edwards,Eldrazi,,Lost,0,2,0,Elliot Fisher,Grixis Delver,
1,David Ellis,4c Loam,,Won,2,0,0,Shawn Yu,Miracles,
1,Kris Ferderer,Enchantress,GW,Won,2,1,0,Jarrod Hamerly,Eldrazi,
1,Elliot Fisher,Grixis Delver,,Won,2,0,0,Jeremy Edwards,Eldrazi,
1,Kenneth Flora,Shardless BUG,,Match Loss,,,,,,
1,Christopher Fornace,Nic Fit,BUG,Drew,1,1,0,Zac Ohnemus,Miracles,
1,Brad Foster,Burn,,Won,2,1,0,Rudy Maynard,4c Loam,
1,Max Gardner,Sneak and Show,,Won,2,1,0,Nick Trettel,RUG Delver,
1,Jarrod Hamerly,Eldrazi,,Lost,1,2,0,Kris Ferderer,Enchantress,GW
1,James Helms,4c Loam,,Won,2,0,0,Adam Prusa,RG Lands,
1,Nicholas Jacobs,ANT,,Won,2,1,0,Josh Monks,Vial Maverick,
1,Michael Jennings,Death and Taxes,,Lost,1,2,0,Timothy Wilder,Shardless BUG,
1,James Johnson,RUG Delver,,Won,2,0,0,Greg Mitchell,Tin Fins,
1,Sonja Kasky,Death and Taxes,,Won,2,1,0,Shawn Tabrizi,Grixis Delver,
1,Mike Kiesel,Grixis Delver,,Drew,1,1,0,Thomas Martin,Shardless BUG,
1,David Korus,Shardless BUG,,Lost,1,2,0,Keaton Lovlyn,Deathblade,
1,Truett Kueck,ANT,,Lost,1,2,0,Graeme Stocker,Grixis Delver,
1,Thomas Lancaster,ANT,,Lost,1,2,0,Ricky White,Enchantress,GU
1,Frank Lepore,Eldrazi,,Won,2,0,0,Lydia Deese,Splinter Twin,
1,Tavis Levchak,Belcher,,Lost,1,2,0,Luke Westerburg,Omniscience,UB
1,Bill Li,Death and Taxes,,Lost,1,2,0,Brenden Mcbain,Painter,RW
1,Keaton Lovlyn,Deathblade,,Won,2,1,0,David Korus,Shardless BUG,
1,Russell Martin,4c Loam,,Won,2,0,0,Michael Swailes,Miracles,
1,Thomas Martin,Shardless BUG,,Drew,1,1,0,Mike Kiesel,Grixis Delver,
1,Scott Masterson,Grixis Delver,,Won,2,1,0,Eric Ridgeway,Sneak and Show,
1,Rudy Maynard,4c Loam,,Lost,1,2,0,Brad Foster,Burn,
1,Brenden Mcbain,Painter,RW,Won,2,1,0,Bill Li,Death and Taxes,
1,Jake Mccune,Death and Taxes,,Lost,0,2,0,Jon Dubois,Slivers,
1,Luke Mcgrath,Grixis Delver,,Won,2,0,0,Joe Barry,Grixis Delver,
1,Erik Mickel,Maverick,,Lost,1,2,0,Omer Boudrissa,4c Loam,
1,Greg Mitchell,Tin Fins,,Lost,0,2,0,James Johnson,RUG Delver,
1,Josh Monks,Vial Maverick,,Lost,1,2,0,Nicholas Jacobs,ANT,
1,John Nitz,Hypergenesis,,Lost,1,2,0,Karl Spreine,Jund,Punishing
1,Zac Ohnemus,Miracles,,Drew,1,1,0,Christopher Fornace,Nic Fit,BUG
1,Quinn Omori,Infect,,Won,2,1,0,Matt Sokolowsky,Aluren,
1,Adam Prusa,RG Lands,,Lost,0,2,0,James Helms,4c Loam,
1,Joe Ricci,Affinity,,Lost,1,2,0,Jordan Aisaka,UWR Stoneblade,
1,Eric Ridgeway,Sneak and Show,,Lost,1,2,0,Scott Masterson,Grixis Delver,
1,Victrinia Ridgeway,Elves,,Lost,0,2,0,Allion Salvador,Miracles,
1,Allion Salvador,Miracles,,Won,2,0,0,Victrinia Ridgeway,Elves,
1,Alex Scott,Burn,,Won,2,1,0,Christopher Wigginton,BUG Delver,
1,David Scott,BUG Delver,,Lost,0,2,0,Peter Cottell,4c Loam,
1,Jereme Singson,Sneak and Show,,Won,2,1,0,Marcel Dizon,Grixis Delver,
1,Matt Sokolowsky,Aluren,,Lost,1,2,0,Quinn Omori,Infect,
1,Andrew Spence,Goblins,,Lost,0,2,0,Frank Stanley,Tin Fins,
1,Karl Spreine,Jund,Punishing,Won,2,1,0,John Nitz,Hypergenesis,
1,Frank Stanley,Tin Fins,,Won,2,0,0,Andrew Spence,Goblins,
1,Graeme Stocker,Grixis Delver,,Won,2,1,0,Truett Kueck,ANT,
1,Andy Stowell,BUG Delver,,Won,2,1,0,James Bannan,ANT,
1,Michael Swailes,Miracles,,Lost,0,2,0,Russell Martin,4c Loam,
1,Shawn Tabrizi,Grixis Delver,,Lost,1,2,0,Sonja Kasky,Death and Taxes,
1,Victor Tea,ANT,,Match Loss,,,,,,
1,Nick Trettel,RUG Delver,,Lost,1,2,0,Max Gardner,Sneak and Show,
1,Benjamin Trout,Grixis Delver,,Won,2,1,0,Kris Williams,Death and Taxes,
1,Chris Wallace,Eldrazi,,Won,2,1,0,Daniel Baker,Food Chain,
1,Luke Westerburg,Omniscience,UB,Won,2,1,0,Tavis Levchak,Belcher,
1,Ricky White,Enchantress,GU,Won,2,1,0,Thomas Lancaster,ANT,
1,Christopher Wigginton,BUG Delver,,Lost,1,2,0,Alex Scott,Burn,
1,Timothy Wilder,Shardless BUG,,Won,2,1,0,Michael Jennings,Death and Taxes,
