Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Seann Abuan,All Spells,,Lost,1,2,0,Scott Griffen,Shardless BUG,
1,Kenneth Archer,RUG Delver,,Won,2,0,0,Garth Brewe,Burn,
1,Joe Barry,12-Post,Bant,Won,2,0,0,Scott Gregor,Deadguy Ale,
1,Larry Behnsch,RG Lands,,Lost,0,2,0,Christopher Fornace,Nic Fit,BUG
1,Brian Bennett,Aluren,,Won,2,1,0,Generie Marc Peco,RG Lands,
1,Garth Brewe,Burn,,Lost,0,2,0,Kenneth Archer,RUG Delver,
1,Michael Chonka,Manaless Dredge,,Lost,1,2,0,Alex Scott,Deadguy Ale,
1,Joseph Christensen,Death and Taxes,,Drew,1,1,0,Alonso Cisternas,Maverick,GWb
1,Alonso Cisternas,Maverick,GWb,Drew,1,1,0,Joseph Christensen,Death and Taxes,
1,Elston Cloy,Eldrazi,,Lost,0,2,0,Jeff Kinsey,Death and Taxes,
1,Isaac Conner,Reanimator,,Lost,1,2,0,Martin Goldman-kirst,Aluren,
1,Aden Coy,Merfolk,,Won,2,1,0,James Johnson,ANT,
1,Wes Dawson,Food Chain,,Won,2,0,0,Jesse Hampton,Miracles,
1,Bryce Deitt,Sneak and Show,Omni,Won,2,0,0,Rudy Maynard,4c Loam,
1,David Dimalanta,Tin Fins,,Won,2,0,0,Daniel Goh,Death and Taxes,
1,Percy Fang,BUG Delver,,Lost,0,2,0,Andrew Wysocki,Eldrazi,
1,Tj Flowers,Shardless BUG,,Lost,0,2,0,Adam Prusa,Miracles,
1,Christopher Fornace,Nic Fit,BUG,Won,2,0,0,Larry Behnsch,RG Lands,
1,Milo Gerhard,Eldrazi Taxes,,Won,2,1,0,Daniel Nguyen,Elves,
1,Daniel Goh,Death and Taxes,,Lost,0,2,0,David Dimalanta,Tin Fins,
1,Martin Goldman-kirst,Aluren,,Won,2,1,0,Isaac Conner,Reanimator,
1,Junior Gonzales,Splinter Twin,,Lost,0,2,0,Chris Herold,Sneak and Show,Omni
1,Scott Gregor,Deadguy Ale,,Lost,0,2,0,Joe Barry,12-Post,Bant
1,Scott Griffen,Shardless BUG,,Won,2,1,0,Seann Abuan,All Spells,
1,Jesse Hampton,Miracles,,Lost,0,2,0,Wes Dawson,Food Chain,
1,Adam Handermann,Elves,,Lost,1,2,0,Brad Rasmussen,BUG Control,
1,Yang He,Infect,,Lost,0,2,0,Thomas Lancaster,Infect,
1,James Helms,4c Loam,,Won,2,1,0,Samuel Hriljac,Miracles,
1,Sasha Herda,Zombardment,,Lost,0,2,0,Nikita Petrov,Elves,
1,Chris Herold,Sneak and Show,Omni,Won,2,0,0,Junior Gonzales,Splinter Twin,
1,Samuel Hriljac,Miracles,,Lost,1,2,0,James Helms,4c Loam,
1,James Johnson,ANT,,Lost,1,2,0,Aden Coy,Merfolk,
1,Mike Kiesel,Death and Taxes,,Lost,0,2,0,Greg Mitchell,Omni/Miracles,
1,Jeff Kinsey,Death and Taxes,,Won,2,0,0,Elston Cloy,Eldrazi,
1,Thomas Lancaster,Infect,,Won,2,0,0,Yang He,Infect,
1,Ethan Lightfoot,Aluren,,Lost,1,2,0,Jake Mccune,Death and Taxes,
1,Tom Lynch,Shardless BUG,,Lost,0,2,0,Zac Ohnemus,Grixis Delver,
