Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
2,Thomas Lancaster,Infect,,Won,2,0,0,Jake Mccune,Death and Taxes,
2,Thomas Lynch,TES,,Lost,0,2,0,Chad Warford,RG Lands,
2,Tyler Marklyn,Death and Taxes,,Won,2,0,0,Michael Wallio,UR Delver,
2,Rudy Maynard,4c Loam,,Lost,1,2,0,Garth Brewe,Burn,
2,Brenden Mcbain,Imperial Painter,,Won,2,0,0,Max Goldstein,Aluren,
2,Matthew Mccullough,Elves,,Won,2,0,0,Jeff Kinsey,Death and Taxes,
2,Jake Mccune,Death and Taxes,,Lost,0,2,0,Thomas Lancaster,Infect,
2,Josh Monks,Jund,Punishing,Lost,1,2,0,Karl Spreine,RUG Delver,
2,Daniel Nguyen,Elves,,Lost,1,2,0,Percy Fang,BUG Delver,
2,Generie Marc Peco,RG Lands,,Won,2,1,0,James Johnson,RUG Delver,
2,Nikita Petrov,Elves,,Drew,1,1,0,Devon Cormier,Burn,
2,Dylan Petter,Miracles,,Won,2,1,0,Luke Kutrich,Eldrazi,
2,John Phillpot,ANT,,Lost,0,2,0,Christopher Fornace,Nic Fit,4c
2,Adam Prusa,RG Lands,,Lost,1,2,0,Patrick Daly,Mono-Blue Martyr,
2,Paul Riordan,BR Reanimator,,Lost,1,2,0,David Scott,Miracles,
2,Alex Scott,Deadguy Ale,,Lost,0,2,0,Joel Kittinger,Deadguy Ale,
2,David Scott,Miracles,,Won,2,1,0,Paul Riordan,BR Reanimator,
2,Karl Spreine,RUG Delver,,Won,2,1,0,Josh Monks,Jund,Punishing
2,Thilo Strauss,Miracles,,Won,2,1,0,Justin Hrala,Shardless BUG,
2,Michael Swailes,Miracles,,Won,2,0,0,Christopher Cornejo,Grixis Control,
2,Shawn Tabrizi,Grixis Delver,,Won,2,1,0,Elliot Fisher,Grixis Delver,
2,Patrick Tierney,Jund,Punishing,Lost,1,2,0,Daniel Goh,Death and Taxes,
2,Aaron Walker,Aluren,,Won,2,0,0,Kris Williams,Death and Taxes,
2,Michael Wallio,UR Delver,,Lost,0,2,0,Tyler Marklyn,Death and Taxes,
2,Miles Wallio,Elves,,Lost,1,2,0,Martin Goldman-kirst,Aluren,
2,Chad Warford,RG Lands,,Won,2,0,0,Thomas Lynch,TES,
2,Kris Williams,Death and Taxes,,Lost,0,2,0,Aaron Walker,Aluren,
2,Andrew Wysocki,Tin Fins,,Lost,1,2,0,Thomas Dowd,Tin Fins,
2,Sam Yates,Grixis Delver,,Won,2,0,0,Samuel Hriljac,Miracles,
2,Shawn Yu,Aluren,,Bye,,,,,,
3,Scott Alter,Infect,,Won,2,1,0,Max Goldstein,Aluren,
3,Garth Brewe,Burn,,Lost,1,2,0,Matthew Mccullough,Elves,
3,Kevin Corliss,Miracles,,Lost,1,2,0,Karl Spreine,RUG Delver,
3,Devon Cormier,Burn,,Won,2,1,0,Michael Wallio,UR Delver,
3,Christopher Cornejo,Grixis Control,,Lost,0,2,0,John Phillpot,ANT,
3,Patrick Daly,Mono-Blue Martyr,,Lost,0,2,0,Jeff Kinsey,Death and Taxes,
3,Thomas Dowd,Tin Fins,,Won,2,1,0,Martin Goldman-kirst,Aluren,
3,Jeremy Edwards,Eldrazi,White,Won,2,0,0,James Johnson,RUG Delver,
3,Percy Fang,BUG Delver,,Lost,1,2,0,Patrick Tierney,Jund,Punishing
3,Elliot Fisher,Grixis Delver,,Won,2,0,0,Josh Monks,Jund,Punishing
3,Christopher Fornace,Nic Fit,4c,Won,2,0,0,Thilo Strauss,Miracles,
3,Daniel Goh,Death and Taxes,,Won,2,0,0,Jesse Kunz,Sneak and Show,Omni
3,Martin Goldman-kirst,Aluren,,Lost,1,2,0,Thomas Dowd,Tin Fins,
3,Max Goldstein,Aluren,,Lost,1,2,0,Scott Alter,Infect,
3,Justin Hrala,Shardless BUG,,Lost,0,2,0,Kris Williams,Death and Taxes,
3,Samuel Hriljac,Miracles,,Won,2,0,0,Aaron Walker,Aluren,
3,James Johnson,RUG Delver,,Lost,0,2,0,Jeremy Edwards,Eldrazi,White
3,Jeff Kinsey,Death and Taxes,,Won,2,0,0,Patrick Daly,Mono-Blue Martyr,
3,Joel Kittinger,Deadguy Ale,,Lost,1,2,0,Shawn Tabrizi,Grixis Delver,
3,Jesse Kunz,Sneak and Show,Omni,Lost,0,2,0,Daniel Goh,Death and Taxes,
3,Luke Kutrich,Eldrazi,,Lost,0,2,0,Adam Prusa,RG Lands,
3,Thomas Lancaster,Infect,,Lost,1,2,0,Shawn Yu,Aluren,
3,Thomas Lynch,TES,,Won,2,0,0,Miles Wallio,Elves,
3,Tyler Marklyn,Death and Taxes,,Drew,1,1,0,Dylan Petter,Miracles,
3,Rudy Maynard,4c Loam,,Won,2,0,0,Michael Swailes,Miracles,
3,Brenden Mcbain,Imperial Painter,,Won,2,1,0,David Scott,Miracles,
3,Matthew Mccullough,Elves,,Won,2,1,0,Garth Brewe,Burn,
3,Josh Monks,Jund,Punishing,Lost,0,2,0,Elliot Fisher,Grixis Delver,
3,Generie Marc Peco,RG Lands,,Won,2,0,0,Sam Yates,Grixis Delver,
3,Nikita Petrov,Elves,,Won,2,0,0,Alex Scott,Deadguy Ale,
3,Dylan Petter,Miracles,,Drew,1,1,0,Tyler Marklyn,Death and Taxes,
3,John Phillpot,ANT,,Won,2,0,0,Christopher Cornejo,Grixis Control,
3,Adam Prusa,RG Lands,,Won,2,0,0,Luke Kutrich,Eldrazi,
3,Paul Riordan,BR Reanimator,,Won,2,0,0,Chad Warford,RG Lands,
3,Alex Scott,Deadguy Ale,,Lost,0,2,0,Nikita Petrov,Elves,
3,David Scott,Miracles,,Lost,1,2,0,Brenden Mcbain,Imperial Painter,
3,Karl Spreine,RUG Delver,,Won,2,1,0,Kevin Corliss,Miracles,
3,Thilo Strauss,Miracles,,Lost,0,2,0,Christopher Fornace,Nic Fit,4c
3,Michael Swailes,Miracles,,Lost,0,2,0,Rudy Maynard,4c Loam,
3,Shawn Tabrizi,Grixis Delver,,Won,2,1,0,Joel Kittinger,Deadguy Ale,
3,Patrick Tierney,Jund,Punishing,Won,2,1,0,Percy Fang,BUG Delver,
3,Aaron Walker,Aluren,,Lost,0,2,0,Samuel Hriljac,Miracles,
3,Michael Wallio,UR Delver,,Lost,1,2,0,Devon Cormier,Burn,
3,Miles Wallio,Elves,,Lost,0,2,0,Thomas Lynch,TES,
3,Chad Warford,RG Lands,,Lost,0,2,0,Paul Riordan,BR Reanimator,
3,Kris Williams,Death and Taxes,,Won,2,0,0,Justin Hrala,Shardless BUG,
3,Andrew Wysocki,Tin Fins,,Bye,,,,,,
3,Sam Yates,Grixis Delver,,Lost,0,2,0,Generie Marc Peco,RG Lands,
3,Shawn Yu,Aluren,,Won,2,1,0,Thomas Lancaster,Infect,
4,Scott Alter,Infect,,Won,2,1,0,Jesse Kunz,Sneak and Show,Omni
4,Garth Brewe,Burn,,Won,2,0,0,Shawn Yu,Aluren,
4,Kevin Corliss,Miracles,,Won,2,1,0,Elliot Fisher,Grixis Delver,
4,Devon Cormier,Burn,,Won,2,0,0,Joel Kittinger,Deadguy Ale,
4,Christopher Cornejo,Grixis Control,,Bye,,,,,,
4,Patrick Daly,Mono-Blue Martyr,,Lost,1,2,0,Thilo Strauss,Miracles,
4,Thomas Dowd,Tin Fins,,Won,2,1,0,Jeremy Edwards,Eldrazi,White
4,Jeremy Edwards,Eldrazi,White,Lost,1,2,0,Thomas Dowd,Tin Fins,
4,Percy Fang,BUG Delver,,Won,2,0,0,James Johnson,RUG Delver,
4,Elliot Fisher,Grixis Delver,,Lost,1,2,0,Kevin Corliss,Miracles,
4,Christopher Fornace,Nic Fit,4c,Won,2,1,0,Paul Riordan,BR Reanimator,
4,Daniel Goh,Death and Taxes,,Lost,1,2,0,Matthew Mccullough,Elves,
4,Martin Goldman-kirst,Aluren,,Won,2,1,0,Dylan Petter,Miracles,
4,Max Goldstein,Aluren,,Lost,0,2,0,Aaron Walker,Aluren,
4,Samuel Hriljac,Miracles,,Won,2,1,0,Jeff Kinsey,Death and Taxes,
4,James Johnson,RUG Delver,,Lost,0,2,0,Percy Fang,BUG Delver,
4,Jeff Kinsey,Death and Taxes,,Lost,1,2,0,Samuel Hriljac,Miracles,
4,Joel Kittinger,Deadguy Ale,,Lost,0,2,0,Devon Cormier,Burn,
4,Jesse Kunz,Sneak and Show,Omni,Lost,1,2,0,Scott Alter,Infect,
4,Luke Kutrich,Eldrazi,,Won,2,0,0,Miles Wallio,Elves,
4,Thomas Lancaster,Infect,,Lost,1,2,0,Thomas Lynch,TES,
4,Thomas Lynch,TES,,Won,2,1,0,Thomas Lancaster,Infect,
4,Tyler Marklyn,Death and Taxes,,Won,2,1,0,Nikita Petrov,Elves,
4,Rudy Maynard,4c Loam,,Won,2,0,0,Patrick Tierney,Jund,Punishing
4,Brenden Mcbain,Imperial Painter,,Won,2,1,0,Karl Spreine,RUG Delver,
4,Matthew Mccullough,Elves,,Won,2,1,0,Daniel Goh,Death and Taxes,
4,Generie Marc Peco,RG Lands,,Lost,1,2,0,Shawn Tabrizi,Grixis Delver,
4,Nikita Petrov,Elves,,Lost,1,2,0,Tyler Marklyn,Death and Taxes,
4,Dylan Petter,Miracles,,Lost,1,2,0,Martin Goldman-kirst,Aluren,
4,John Phillpot,ANT,,Won,2,1,0,Michael Wallio,UR Delver,
4,Adam Prusa,RG Lands,,Won,2,1,0,Chad Warford,RG Lands,
4,Paul Riordan,BR Reanimator,,Lost,1,2,0,Christopher Fornace,Nic Fit,4c
4,David Scott,Miracles,,Drew,1,1,0,Sam Yates,Grixis Delver,
4,Karl Spreine,RUG Delver,,Lost,1,2,0,Brenden Mcbain,Imperial Painter,
4,Thilo Strauss,Miracles,,Won,2,1,0,Patrick Daly,Mono-Blue Martyr,
4,Shawn Tabrizi,Grixis Delver,,Won,2,1,0,Generie Marc Peco,RG Lands,
4,Patrick Tierney,Jund,Punishing,Lost,0,2,0,Rudy Maynard,4c Loam,
4,Aaron Walker,Aluren,,Won,2,0,0,Max Goldstein,Aluren,
4,Michael Wallio,UR Delver,,Lost,1,2,0,John Phillpot,ANT,
4,Miles Wallio,Elves,,Lost,0,2,0,Luke Kutrich,Eldrazi,
4,Chad Warford,RG Lands,,Lost,1,2,0,Adam Prusa,RG Lands,
4,Kris Williams,Death and Taxes,,Won,2,0,0,Andrew Wysocki,Tin Fins,
4,Andrew Wysocki,Tin Fins,,Lost,0,2,0,Kris Williams,Death and Taxes,
4,Sam Yates,Grixis Delver,,Drew,1,1,0,David Scott,Miracles,
4,Shawn Yu,Aluren,,Lost,0,2,0,Garth Brewe,Burn,
5,Scott Alter,Infect,,Won,2,1,0,Samuel Hriljac,Miracles,
5,Garth Brewe,Burn,,Lost,1,2,0,Generie Marc Peco,RG Lands,
5,Kevin Corliss,Miracles,,Won,2,0,0,Christopher Fornace,Nic Fit,4c
5,Devon Cormier,Burn,,Lost,0,2,0,David Scott,Miracles,
5,Christopher Cornejo,Grixis Control,,Lost,0,2,0,Chad Warford,RG Lands,
5,Thomas Dowd,Tin Fins,,Won,2,0,0,Matthew Mccullough,Elves,
5,Jeremy Edwards,Eldrazi,White,Won,2,1,0,Adam Prusa,RG Lands,
5,Percy Fang,BUG Delver,,Won,2,0,0,Thilo Strauss,Miracles,
5,Christopher Fornace,Nic Fit,4c,Lost,0,2,0,Kevin Corliss,Miracles,
5,Daniel Goh,Death and Taxes,,Lost,1,2,0,Rudy Maynard,4c Loam,
5,Martin Goldman-kirst,Aluren,,Won,2,0,0,Sam Yates,Grixis Delver,
5,Samuel Hriljac,Miracles,,Lost,1,2,0,Scott Alter,Infect,
5,Jeff Kinsey,Death and Taxes,,Won,2,0,0,Jesse Kunz,Sneak and Show,Omni
5,Joel Kittinger,Deadguy Ale,,Won,2,0,0,Nikita Petrov,Elves,
5,Jesse Kunz,Sneak and Show,Omni,Lost,0,2,0,Jeff Kinsey,Death and Taxes,
5,Luke Kutrich,Eldrazi,,Lost,0,2,0,Michael Wallio,UR Delver,
5,Thomas Lynch,TES,,Won,2,0,0,Patrick Tierney,Jund,Punishing
5,Tyler Marklyn,Death and Taxes,,Won,2,1,0,Karl Spreine,RUG Delver,
5,Rudy Maynard,4c Loam,,Won,2,1,0,Daniel Goh,Death and Taxes,
5,Brenden Mcbain,Imperial Painter,,ID,0,0,1,Shawn Tabrizi,Grixis Delver,
5,Matthew Mccullough,Elves,,Lost,0,2,0,Thomas Dowd,Tin Fins,
5,Generie Marc Peco,RG Lands,,Won,2,1,0,Garth Brewe,Burn,
5,Nikita Petrov,Elves,,Lost,0,2,0,Joel Kittinger,Deadguy Ale,
5,Dylan Petter,Miracles,,Lost,1,2,0,Aaron Walker,Aluren,
5,John Phillpot,ANT,,Lost,1,2,0,Kris Williams,Death and Taxes,
5,Adam Prusa,RG Lands,,Lost,1,2,0,Jeremy Edwards,Eldrazi,White
5,Paul Riordan,BR Reanimator,,Won,2,0,0,Shawn Yu,Aluren,
5,David Scott,Miracles,,Won,2,0,0,Devon Cormier,Burn,
5,Karl Spreine,RUG Delver,,Lost,1,2,0,Tyler Marklyn,Death and Taxes,
5,Thilo Strauss,Miracles,,Lost,0,2,0,Percy Fang,BUG Delver,
5,Shawn Tabrizi,Grixis Delver,,ID,0,0,1,Brenden Mcbain,Imperial Painter,
5,Patrick Tierney,Jund,Punishing,Lost,0,2,0,Thomas Lynch,TES,
5,Aaron Walker,Aluren,,Won,2,1,0,Dylan Petter,Miracles,
5,Michael Wallio,UR Delver,,Won,2,0,0,Luke Kutrich,Eldrazi,
5,Miles Wallio,Elves,,Bye,,,,,,
5,Chad Warford,RG Lands,,Won,2,0,0,Christopher Cornejo,Grixis Control,
5,Kris Williams,Death and Taxes,,Won,2,1,0,John Phillpot,ANT,
5,Sam Yates,Grixis Delver,,Lost,0,2,0,Martin Goldman-kirst,Aluren,
5,Shawn Yu,Aluren,,Lost,0,2,0,Paul Riordan,BR Reanimator,
6,Scott Alter,Infect,,Lost,1,2,0,Rudy Maynard,4c Loam,
6,Garth Brewe,Burn,,Won,2,1,0,Martin Goldman-kirst,Aluren,
6,Kevin Corliss,Miracles,,ID,0,0,1,Generie Marc Peco,RG Lands,
6,Devon Cormier,Burn,,Won,2,0,0,Jesse Kunz,Sneak and Show,Omni
6,Thomas Dowd,Tin Fins,,Lost,1,2,0,Shawn Tabrizi,Grixis Delver,
6,Jeremy Edwards,Eldrazi,White,Won,2,1,0,Jeff Kinsey,Death and Taxes,
6,Percy Fang,BUG Delver,,Won,2,0,0,Aaron Walker,Aluren,
6,Daniel Goh,Death and Taxes,,Lost,0,2,0,Karl Spreine,RUG Delver,
6,Martin Goldman-kirst,Aluren,,Lost,1,2,0,Garth Brewe,Burn,
6,Samuel Hriljac,Miracles,,Won,2,1,0,Paul Riordan,BR Reanimator,
6,Jeff Kinsey,Death and Taxes,,Lost,1,2,0,Jeremy Edwards,Eldrazi,White
6,Joel Kittinger,Deadguy Ale,,Won,2,0,0,John Phillpot,ANT,
6,Jesse Kunz,Sneak and Show,Omni,Lost,0,2,0,Devon Cormier,Burn,
6,Luke Kutrich,Eldrazi,,Lost,0,2,0,Chad Warford,RG Lands,
6,Thomas Lynch,TES,,Won,2,1,0,Kris Williams,Death and Taxes,
