Round,Player,Archetype,Sub Archetype,Result,Won,Lost,Drew,Opponent,Archetype,Sub Archetype
1,Jack Bjorge,Merfolk,,Won,2,1,0,Andy Stowell,BUG Delver,
1,Paul Blake,Jund,,Won,2,1,0,Nathan Lickteig,R/W Stompy,
1,Randy Buehler,Tin Fins,,Lost,0,2,0,Percy Fang,BUG Delver,
1,Solomon Burgess,Grixis Pyromancer,,Won,2,1,0,Dan Macmillan,Infect,
1,Sean Catanese,NetherLands,,Drew,1,1,0,Adam Prusa,Miracles,
1,Nick Colpron,RG Lands,,Drew,1,1,0,Christopher Morris Lent,Infect,
1,Isaac Conner,Reanimator,,Lost,0,2,0,Stephen Gussin,Grixis Delver,
1,Peter Cottell,4c Loam,,Lost,0,2,0,Rudy Maynard,4c Loam,
1,David Dimalanta,Goblins,,Lost,1,2,0,Tyler Marklyn,Death and Taxes,
1,Philip Dodge,Jund,,Lost,0,2,0,Greg Mitchell,12-Post,GW
1,Willy Donaldson,4c Loam,,Lost,0,2,0,Frank Tenace,Maverick,GWB
1,Jeremy Edwards,Infect,,Won,2,0,0,Sam Yates,Grixis Delver,
1,Michael Evangelista,RG Lands,,Won,2,0,0,Brent Traut,Aluren,
1,Percy Fang,BUG Delver,,Won,2,0,0,Randy Buehler,Tin Fins,
1,Max Gardner,Sneak and Show,,Won,2,0,0,Kyle Woolcock,RG Lands,
1,Stephen Gussin,Grixis Delver,,Won,2,0,0,Isaac Conner,Reanimator,
1,Jesse Hampton,Miracles,,Won,2,0,0,Patrick Wong,Deathblade,
1,Morgan Hoke,Infect,,Lost,1,2,0,Thomas Martin,Shardless BUG,
1,Rob Hunsaker,Jund,,Won,2,0,0,Tyler Spears,Jund,
1,James Johnson,RUG Delver,,Won,2,1,0,Gerry Thompson,Food Chain,
1,Eric Keiser,Nic Fit,GBW,Won,2,1,0,Chris Lennon,Slivers,
1,Mike Kiesel,Miracles,,Lost,1,2,0,Karl Spreine,Jund,
1,Thomas Lancaster,ANT,,Won,2,1,0,Russell Martin,4c Loam,
1,Chris Leclercq,RG Lands,,Won,1,0,0,Bill Li,Death and Taxes,
1,Chris Lennon,Slivers,,Lost,1,2,0,Eric Keiser,Nic Fit,GBW
1,Bill Li,Death and Taxes,,Lost,0,1,0,Chris Leclercq,RG Lands,
1,Nathan Lickteig,R/W Stompy,,Lost,1,2,0,Paul Blake,Jund,
1,Christopher Lundgren,Omniscience,,Lost,1,2,0,James Wade,Deathblade,
1,Dan Macmillan,Infect,,Lost,1,2,0,Solomon Burgess,Grixis Pyromancer,
1,Tyler Marklyn,Death and Taxes,,Won,2,1,0,David Dimalanta,Goblins,
1,Russell Martin,4c Loam,,Lost,1,2,0,Thomas Lancaster,ANT,
1,Thomas Martin,Shardless BUG,,Won,2,1,0,Morgan Hoke,Infect,
1,Rudy Maynard,4c Loam,,Won,2,0,0,Peter Cottell,4c Loam,
1,Luke Mcgrath,BUG Delver,,Won,2,0,0,Colin Walker,Miracles,
1,Greg Mitchell,12-Post,GW,Won,2,0,0,Philip Dodge,Jund,
1,Josh Monks,Miracles,,Won,2,0,0,Clynn Wilkinson,4c Delver,
1,Christopher Morris Lent,Infect,,Drew,1,1,0,Nick Colpron,RG Lands,
1,Hung Nguyen,Shardless BUG,,Drew,1,1,0,Michael Sellers,Shardless BUG,
1,Andrew Park,Sneak and Show,,Won,2,0,0,Peter Smutko,Bant,
1,Stephen Peters,Miracles,,Won,2,0,0,Troy Pottinger,Burn,
1,Troy Pottinger,Burn,,Lost,0,2,0,Stephen Peters,Miracles,
1,Adam Prusa,Miracles,,Drew,1,1,0,Sean Catanese,NetherLands,
1,David Scott,Miracles,,Lost,1,2,0,Ryan Viney,Shardless BUG,
1,Michael Sellers,Shardless BUG,,Drew,1,1,0,Hung Nguyen,Shardless BUG,
1,Peter Smutko,Bant,,Lost,0,2,0,Andrew Park,Sneak and Show,
1,Tyler Spears,Jund,,Lost,0,2,0,Rob Hunsaker,Jund,
1,Karl Spreine,Jund,,Won,2,1,0,Mike Kiesel,Miracles,
1,Andy Stowell,BUG Delver,,Lost,1,2,0,Jack Bjorge,Merfolk,
1,Shawn Tabrizi,Grixis Delver,,Bye,,,,,,
1,Frank Tenace,Maverick,GWB,Won,2,0,0,Willy Donaldson,4c Loam,
1,Gerry Thompson,Food Chain,,Lost,1,2,0,James Johnson,RUG Delver,
1,Brent Traut,Aluren,,Lost,0,2,0,Michael Evangelista,RG Lands,
1,Ryan Viney,Shardless BUG,,Won,2,1,0,David Scott,Miracles,
1,James Wade,Deathblade,,Won,2,1,0,Christopher Lundgren,Omniscience,
1,Colin Walker,Miracles,,Lost,0,2,0,Luke Mcgrath,BUG Delver,
1,Clynn Wilkinson,4c Delver,,Lost,0,2,0,Josh Monks,Miracles,
1,Patrick Wong,Deathblade,,Lost,0,2,0,Jesse Hampton,Miracles,
1,Kyle Woolcock,RG Lands,,Lost,0,2,0,Max Gardner,Sneak and Show,
1,Sam Yates,Grixis Delver,,Lost,0,2,0,Jeremy Edwards,Infect,
2,Jack Bjorge,Merfolk,,Lost,1,2,0,James Wade,Deathblade,
2,Paul Blake,Jund,,Lost,1,2,0,Rudy Maynard,4c Loam,
2,Randy Buehler,Tin Fins,,Won,2,0,0,Chris Lennon,Slivers,
2,Solomon Burgess,Grixis Pyromancer,,Won,2,0,0,Ryan Viney,Shardless BUG,
2,Sean Catanese,NetherLands,,Lost,0,2,0,Michael Evangelista,RG Lands,
2,Nick Colpron,RG Lands,,Won,2,0,0,Michael Sellers,Shardless BUG,
2,Isaac Conner,Reanimator,,Lost,1,2,0,Peter Cottell,4c Loam,
2,Peter Cottell,4c Loam,,Won,2,1,0,Isaac Conner,Reanimator,
2,David Dimalanta,Goblins,,Lost,1,2,0,Nathan Lickteig,R/W Stompy,
2,Philip Dodge,Jund,,Lost,0,2,0,Morgan Hoke,Infect,
2,Willy Donaldson,4c Loam,,Won,2,0,0,Kyle Woolcock,RG Lands,
2,Jeremy Edwards,Infect,,Won,2,0,0,Greg Mitchell,12-Post,GW
2,Michael Evangelista,RG Lands,,Won,2,0,0,Sean Catanese,NetherLands,
2,Percy Fang,BUG Delver,,Lost,1,2,0,Shawn Tabrizi,Grixis Delver,
2,Max Gardner,Sneak and Show,,Won,2,1,0,Thomas Lancaster,ANT,
2,Stephen Gussin,Grixis Delver,,Lost,1,2,0,Jesse Hampton,Miracles,
2,Jesse Hampton,Miracles,,Won,2,1,0,Stephen Gussin,Grixis Delver,
2,Morgan Hoke,Infect,,Won,2,0,0,Philip Dodge,Jund,
2,Rob Hunsaker,Jund,,Lost,0,2,0,Frank Tenace,Maverick,GWB
2,James Johnson,RUG Delver,,Lost,1,2,0,Stephen Peters,Miracles,
2,Eric Keiser,Nic Fit,GBW,Lost,1,2,0,Andrew Park,Sneak and Show,
2,Mike Kiesel,Miracles,,Lost,1,2,0,Clynn Wilkinson,4c Delver,
2,Thomas Lancaster,ANT,,Lost,1,2,0,Max Gardner,Sneak and Show,
2,Chris Leclercq,RG Lands,,Lost,0,2,0,Luke Mcgrath,BUG Delver,
2,Chris Lennon,Slivers,,Lost,0,2,0,Randy Buehler,Tin Fins,
2,Bill Li,Death and Taxes,,Lost,1,2,0,Sam Yates,Grixis Delver,
